,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,t_others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2018,I would have loved to use the link I received at 6am this morning letting me know my flight was cancelled and I needed to rebook. I would have loved if the agent on the 800#could have rebooked my flight this morning. She was unable because my “bag was still in the system.”,TamaraMWilson,,,,1,,,,,,,,1,,,,1
2019,"Really?!? @AmericanAir Can't connect to Gogo, had to use Panasonic. $17 for this... AA269 RDU to DFW pic.twitter.com/vFWrLPQqNZ",jrssms97,,,,,,,1,,,1,,,,,,1
2020,I’m trapped in Cleveland forever! Thanks @Delta!,lirbalicious,,,1,,,,,,,,,1,,,1,
2021,Thank god youbwere here to stop the invention of napkins and cokes long before they were used for evil,farmboylogic,,,,,,,1,,,,,1,,,1,
2022,@Delta 3rd time my flight has been delayed. Was suppose to leave at 915pm now scheduled for 1am,shaunaleaxo,🤦🏻‍♀️ 😞,,1,,,,,,,,,1,,,1,
2023,Do you ever wish they'd load the old Kai Tak checkerboard approach into the A-380 sim just for bonus points? Would be fun to see,HazmatTravis,,,,,,,,,1,,,,1,1,,
2024,@SouthwestAir when can I start booking my trips to Maui? pic.twitter.com/5s3Ginjol9,FnCrazy2,,,,1,,,,,,1,,,,,,1
2025,"I wish there was a way we could put our name down. Would really make the trip especially with my anxiety of the blood clots I got from flying before, the extra space would be amazing for me to rest in on that long flight!",PrincessJStew,,,,,,,,1,,,,,1,1,,
2026,". @AmericanAir , I hope we are not getting ahead of ourselves but we wrote you this note and wanted to know if you would be our #Valentine?https://www.youtube.com/watch?v=xAEr665NCAk …",MadisonHouse21,🥰,,,,,,,,1,1,,,,1,,
2027,"Info sent Helen, I’m all excited now Helen",holdeni,,,,,,,,,1,,,,1,1,,
2028,Pay for my beers and wings I’m eating right now and I’ll consider flying with you again,RJHelsper,,,,,,,1,,,,1,,,1,,
2029,Hey @southwestair I redesigned your napkins for you. I feel like these are far more representative of your service over the past four months. You’re welcome. pic.twitter.com/DVRpHnznzi,JJField_NZ,,,,,,1,,,,,,1,,,,1
2030,@AmericanAir zero communication to the customers then we almost hit a plow truck now that we are moving #justventingnow,theHENJ,,,,,,1,,,,,,1,,,1,
2031,@AmericanAir please ground the #737MAX8 #BOEING737MAX8 I think it’s the right thing to do and I don’t want to die on my spring break.,gmworboys,,,,,,,1,,,,,1,,,1,
2032,@AmericanAir We were offered vouchers and hotel rooms in order to volunteer to get off our flight in Oaxaca and they flew us to Mexico City and the hotel was booked and most hotels here are booked now.,RavnMichela,,,,,,,,1,,,,1,,,1,
2033,We both know the price of my bag is not even close to RM80. What you think I just sent you a kid's size back?,leman_keramat,,1,,,,,,,,,,1,,,1,
2034,"@AmericanAir @SouthwestAir you need to ground your 737 max 8 planes until the problem is diagnosed, I’m not flying either airline until it’s figured out. Don’t risk lives",CashGameKing,,,,,,,1,,,,,1,,,1,
2035,I hope they get back to you and make some sort of amends that includes an apology.,readthinklearn,,,,,,1,,,,,,1,,,1,
2036,@SouthwestAir how do you choose which flights to screw over? I know the plane we were supposed to be on came in fine and was reassigned to a different flight. Why was a broken plane reassigned to my flight that’s resulted in 3 hours and counting of delays?,moseyon,,,1,,,,,,,,,1,,,1,
2037,"Ha, I did my @Ancestry , turns out I'm 51% European! Who knew?!",ferniiieee,,,,,,,,,1,,,,1,,,1
2038,Still better than airbus,Paul_Hatfield,,,,,,,,,1,,,,1,,,1
2039,Thanks genius.,divadlee75,,,,,,,,,1,,,,1,1,,
2040,Just sent another msg,_Itscleopatra,,,,,,,,,1,1,,,,,,1
2041,Please check your DM regarding this matter,CadabyAbbie,,,,,,,,,1,1,,,,,,1
2042,Watching for your track upstairs then rushing to the escalator at Penn Station is a great example of people as cattle. Owls know the track from history.,EAMNY,,,,,,,,,1,,,,1,,,1
2043,I LOVE @SouthwestAir!!!,terrylgoins,,,,,,,,,1,,1,,,1,,
2044,Unbelievably horrible travels with @SouthwestAir over the past 5 days! I get some things are out of their hands but when u strand a family of 7 with young kids thousands of miles from home you could at least help them secure a room for the night at the least!,Foxhead18,,,1,,,,,,,,,1,,,1,
2045,One in the same.,JustinCanela,,,,,,,,,1,,,,1,,,1
2046,@Delta arrived at Harrisburg Int’l airport early per your warning due to govt shutdown just to find nobody from Delta at check in for another hour. Nice job!,Janeen1972,,1,,,,,,,,,,1,,,1,
2047,This is the creme de la creme of adverts at the moment for the creme de la creme of airlines. This advert makes me proud to be British,kingstonthames0,,,,,,,,,1,,1,,,1,,
2048,That’s just great. I assumed that would be the case. All I’m asking for is ANY info on when it will arrive/be sent. What am I supposed to do for three days without clothes or a coat?,heartandfist,,1,,,,,,,,1,,,,,1,
2049,@AirAsiaSupport I tried to book my return journey but the payment doesn't get accepted using VISA card issued by bank in India. Please help,nareshps,,,,1,,,,,,1,,,,,,1
2050,My Fuck!,TheATCchamp,,,,,,,,,1,,,,1,,1,
2051,Elliott’s first time in the @delta sky club. Makes delayed flights a bit more tolerable. pic.twitter.com/UYMf2r0ugI,MichaelBender,,,,,1,,,,,,1,,,1,,
2052,U serious he’s avoiding fury we all know it,philipdoe2,,,,,,,,,1,,,,1,,,1
2053,Sat in aircraft for an hour waiting for a gate. No apologies at all. Terrible experience with Southwest Airlines. @SouthwestAir,yawang09,,,,,,1,,,,,,1,,,1,
2054,"How do you respond @SouthwestAir ?? So much for ""transparency""",LaidBackBetch,,,,,,1,,,,1,,,,,1,
2055,"The more, the merrier! I'm buying new heels. It's an official *event* !",CassCarterBooks,👠,,,,,,,,1,,,,1,,,1
2056,Wait nope - half of my clothing in my suitcase is wet. @Delta @AirEuropa I wait 2 full days to get my suitcase only to get a bag full of wet clothes?,ciao_mickey,,1,,,,,,,,,,1,,,1,
2057,"Congratulations to #spikelee on his Oscar. Just one question, who were you wearing? My guess @Delta dressed you in one of their new uniforms! Strong brand integration from the airline sponsor! #redcarpet #Oscarspic.twitter.com/kS5cYUZRG5",katsat2,,,,,,,,,1,,,,1,1,,
2058,WORLD RECORD / An incredible team of 99 wheelchair users set a Guinness World Record #GWR by pulling a @BoeingAirplanes 787-9 #Dreamliner @British_Airways over a distance of 106 metres at LHR. http:// aeronews.ro/video-record-m ondial-boeing-787-9-british-airways-tras-de-99-de-persoane-cu-dizabilitati/ … @BA_Headlines @BoeingEurope @SeattleVolFan @Aerobility @AyeFly pic.twitter.com/2anwa35zuk,AeronewsRO,,,,,,,,,1,,,,1,1,,
2059,Can AA 73 please wait for AA 302? Lots of passengers on here connecting to it. 77APH82. Thank you! @AmericanAir @traveloneworld,NihaoLiLi,,,1,,,,,,,1,,,,,,1
2060,"Ummmmm, what?????",rodjunie,,,,,,,,,1,,,,1,,,1
2061,Ok thanks. We r just in from NYC and absolutely shattered from then overnight flight so just want to get home,gheth67,,,,,,,1,,,,,,1,,1,
2062,Both my flights were delayed two hours now I might not get a flight until tomorrow & will miss work. Never flying @AmericanAir again,TouchMyChaps,,,1,,,,,,,,,1,,,1,
2063,@British_Airways THANKYOU for a brilliant flight to LA yesterday only down to Graeme Kidd - exceptional amazing guy Tks Mairead x pic.twitter.com/0oTe59SDrM,mmolloycannes,,,,,,1,,,,,1,,,1,,
2064,Hello @Delta How do I include a new KTN for TSA pre-check for an existing reservation and to my profile going forward? Thanks!,jwstender,,,,1,,,,,,1,,,,,,1
2065,""" @British_Airways writes ‘love letter to Britain’ in first brand campaign since 2012"" https:// buff.ly/2S1kTPd #BritishAirways #Marketing pic.twitter.com/ZQMUrONycQ",CreativePodUK,,,,,,,,,1,,,,1,,,1
2066,@Delta I flew first class home from STT yesterday - and halfway through the flight realized my feet were slipping back and forth very easily. I pulled my bag out from under the seat in front of me and it was drenched in a sticky substance. Can something be done about this? pic.twitter.com/j3ikbZYRxZ,Kenan09258542,,,,,,,1,,,1,,,,,1,
2067,Why didn't I get the email requested? Don't feel like I should have to call again and wait in a queue......again.,Louisamcc,,,,,,1,,,,1,,,,,1,
2068,It won’t show in the data that way because they are line checks flying revenue passengers in and out.,TWUIVP,,,,,,,,,1,,,,1,,,1
2069,Privatization.,SacTownSid,,,,,,,,,1,,,,1,,,1
2070,Two more delays + waiting for gate to clear. And the WiFi was not operational on the plane. #fail,DustyfromSTL,,,1,,,,,,,,,1,,,1,
2071,Hey @Delta how about you get these VIP to @HeartCare4Kids conference in LA. Show can’t start without them. Try a little service recovery and customer service....,DrKlugs,,,,,,1,,,,,,1,,,,1
2072,@AmericanAir I’ve been waiting over 2.5 hours for a rebooking callback that was supposed to come in 50 minutes - please help!,whitneygrespin,,,,1,,,,,,1,,,,,1,
2073,I hope not!!,DaveWallsworth,,,,,,,,,1,,,,1,,,1
2074,what exchange?,PaddyTaylor,,,,,,,,,1,,,,,,,
2075,@Delta hey! that trip you were thinking of taking for vacay? Those flights are on SALE at a stupid low price Me: *throws wallet at Delta* #ThisIsHowTheyGetYou,KOrtizzle,,,,1,,,,,,,,,1,1,,
2076,Update: Was told I can’t be reimbursed because I don’t have the receipt. Who saves their receipts from 3+ years ago? I do have record of the purchase on my Bank statement. Help? @AmericanAir,brandonkovacs,,,,1,,,,,,1,,,,,,1
2077,@J_Williams_17_ Go get em girl,FootballMom5150,❤️ 🇺🇸 ✈️,,,,,,,,1,,,,1,,,1
2078,The @Delta team at @RDUAirport is awesome!,debmcelhaney,,,,,,1,,,,,1,,,1,,
2079,Hey @SouthwestAir my sister’s direct flight to visit me in BNA was cancelled with no explanation. She now has a connection and is getting in 3 hours later. Any way I can cheer her up with a free drink coupon??,_saraporch,🙏,,1,,,,,,,,,,1,,,1
2080,"I don’t want to say that I’m 100% sure I’m actually leaving Texas, but the plane *is* moving, and that’s a great sign after a crazy trip!! @SouthwestAir get me home to my family",DocStrong26,❤️ 💙,,,,,,,,1,,,,1,,,1
2081,Haha sorry is less than adequate for losing money for an event the flight caused a delay. #twitter I recommend another airline this one apolgize for you for missing events but doesnt not cause you wasted money for their delay lol,Yagoofy,,,1,,,,,,,,,1,,,1,
2082,I was scheduled to fly out of @BWI_Airport Friday with @SouthwestAir but checked and found out it was a #BOEING737MAX8 plane. I rescheduled for a day later on a different plane. Crossing fingers there are no changes to the plane type between now and then.,thestewartsrock,,,,,,,1,,,,,,1,,,1
2083,are you looking for volunteers to get bumped?,vwrestlemania1,,,,,,,,1,,1,,,,,,1
2084,"Unfortunately, in today's world flirting is ""rape"". So I guess this marketing idea went over like a lead balloon.",Jeannieandersn,☹,,,,,,,,1,,,,1,,,1
2085,Just dm’d.,_JaysapRocky,,,,,,,,,1,,,,1,,,1
2086,@SouthwestAir just sent y’all a DM. Can’t check in.,jesspryles,,1,,,,,,,,1,,,,,,1
2087,"Hi Ben, It's Alex here on my pals phone . What's up me old mucker?",jonfielding1987,,,,,,,,,1,,,,1,,,1
2088,Hey @British_Airways ! Would it be too much to ask to coordinate between the gate and aircraft? It’s crazy to begin boarding only to have your customers queue on the jet bridge for 10 minutes!,WillPhillipson,,,,,,,1,,,,,1,,,1,
2089,@Delta I haven't flown Delta before but if I have the Delta Amex do I not have to pay for checked bags still? Both me and my guest?,lillyonthewater,,1,,,,,,,,1,,,,,,1
2090,Major kudos to @SouthwestAir B5 gate agent Vicky at MSY. She just went WAY above and beyond to get me on standby on an earlier flight home to Chicago. THAT is how you do customer service and why I only fly SWA.,jtrain4,,,,,,1,,,,,1,,,1,,
2091,I hope so because we are fighting the clock and Mother Nature! #needItFriday,3rdBaseCoach25,,,,,,,,,1,,,,1,,,1
2092,"I had to close my paypal account as charges were jaw dropping, especially when i sell something over ebay, charges from ebay, then charges from paypal, at the end i was getting less money than what is the average price of whatever item i sell, not good.",Mr__Million,,,,,,,,,1,,,,1,,,1
2093,"Weeeeell, that was my question. So you don't know which I should start with. I guess I'll try both.",SoniaJane,,,,,,,,,1,,,,1,,,1
2094,Hey @Delta how am I able to check if my KTN was entered correctly? My flight is tonight.,cedarlaneashley,,,,1,,,,,,1,,,,,,1
2095,"Do like that livery, not seen for many a year",M_of_Mystery,,,,,,,1,,,,1,,,1,,
2096,@Delta do the right thing and give @_TomRhodes his Diamond Status! Robbed by technicality... For shame,Sancho3000,,,,,1,,,,,1,,,,,,1
2097,"@British_Airways @MailOnline @TheSun @BALPApilots If you’d like screenshots of O’Neil’s involvement & disgusting behaviour with the lying criminal woman-brasher/stalker/hater I have them all. Unlike them, I don’t hide behind fake accounts...",JJMLondon,,,,,,,,,1,,,,1,,1,
2098,Be warned that some airlines like @singaporeAir @united @delta & @AmericanAir have cameras in some seat-back entertainment systems. I would use tape to cover them up. Irresponsible of these airlines to have spying devices. https://news.yahoo.com/airlines-admit-having-cameras-installed-172817112.html?soc_src=hl-viewer&soc_trk=tw …,TapTheGadfly,,,,,,,1,,,,,1,,,1,
2099,Change your Basic policy for people with kids. We shouldn’t be price gouged to want to sit with our kids! Not that this tweet will be taken seriously by your overpaid CEOs.,montigera,,,,,,,,1,,,,1,,,1,
2100,And you didn’t think to invite your third daughter for some sun?!,tkoobs,😭 😭 😭,,,,,,,,1,,,,1,,,1
2101,And who are the rivals nonstop Cape Town to London these days??? I regret there lies your answer Mark,charlieboy1977,,,,,,,,,1,,,,1,,,1
2102,So we’re waiting for a 3rd fatal crash? #737 #BOEING737MAX8 #groundboeing737max8 ⁦ @SouthwestAir⁩ ⁦ @united⁩ ⁦ @AAirlinesSucks #safetyfirst #zerotolerance US and Canada are the only two nations still flying many Boeing 737 Max planes - CNNhttps://apple.news/ApC2wyarPRlGPRF6XgvLOtw …,sw4tp,😩 💎,,,,,,1,,,,,1,,,1,
2103,It’s a buy at 320,golfinbowlin,,,,1,,,,,,,1,,,1,,
2104,"Dear @AirCanada It’s you, not me. Cancelled me three times when @Delta was get flights out. Let’s think about that. A airline based in Atlanta, GA deals better with the cold than you. Sorry, goodbye.",johnhudzina,,,1,,,,,,,,,1,,,1,
2105,"Totally missed that reference. Well played, @AmericanAir , well played. https://twitter.com/kinsk14/status/1085248410536468480 …",mvaughn25,,,,,,,,,1,,1,,,1,,
2106,"And to put an exclamation point on the day, Southwest lost our bags.",Colbywilson10,,1,,,,,,,,,,1,,,1,
2107,Missing our whole first day of vacation due to @AmericanAir delaying our flight twice and making us rearrange our connecting flight TWICE. #inconvenient,candaceleighhh,😭,,1,,,,,,,,,1,,,1,
2108,@SouthwestAir Completely screwed today! You cancelled my nonstop flight rebooked me on a flight with an hour layover. I lost my A 30 boarding and I am now in the back of B boarding. I also had to call the car service picking me up and rebook it. Apparently this “isn’t an issue”,RL_ReginaGeorge,,,1,,,,,,,,,1,,,1,
2109,Now here I am sat in Phuket having just made my connection in Bangkok but sadly my golf clubs and Case is apparently still in Bangkok or London ?,davidwoburn,,1,,,,,,,,1,,,,,1,
2110,"@AmericanAir your crew out in Lansing is frighteningly inept. They somehow didn't have a fuel plan, didn't plan for de-icing, and have had the flight listed as departed though we are definitely still sitting on the tarmac. Not making my connection now",Digitaluke33,👎🏼 😡,,1,,,,,,,,,1,,,1,
2111,@rebeccabama Was your situation resolved? I'm just a customer with my own issues with @SouthwestAir I'm trying to figure out if they ask for customers to DM them just so information won't be public. I hope it all worked out for you. https://twitter.com/rebeccabama/status/1105168456754888704 …,wndrwomn25,,,,,,,,,1,,,,1,,,1
2112,Call someone at home or close to u and ask them to pack my love,bri_berry347,,,,,,,,,1,,,,1,1,,
2113,"@Delta, A350 #Trashpanda in M,L and XL? #scopemattershttps://twitter.com/MaxK_J/status/1095951354223362049 …",dalscope,,,,,,,,,1,,,,1,,,1
2114,"My #KTLA visit this week spotlighted #travel to #Mexico -- inc. @WPuntadeMita & @Rosarito_Hotel -- & the impact of #SouthwestAirlines' new #Hawaii #flights, inc. @AlaskaAir's latest sale: https://ktla.com/2019/03/05/travelzoos-gabe-saglie-on-the-latest-travel-deals/ … @Travelzoo @SouthwestAir @KTLAMorningNews @LuParker @glenwalkerktla",GabeSaglie,,,,,,,,,1,,,,1,,,1
2115,I read this real fast. Almost looks like this guy is saying Am At Risk for leaving his iPad for people to see.pic.twitter.com/46t9r2100F,brea_pri,,,,,,,,,1,,,,1,,,1
2116,@SouthwestAir why didn’t I get drink coupons but my friend who has only traveled once with you guys did???,gaburrina,😡,,,,,,1,,,1,,,,,,1
2117,"Yes , we. Want yo know",darsenadelnort2,,,,,,,,,1,,,,1,,,1
2118,@DELTA WHE ARE YOU?????,RGPopCulture,,,,,,,,,1,1,,,,,,1
2119,This is a first for me... never been on @AmericanAir #CreatorsHelpingCreators #Phoenixpic.twitter.com/u5G3xn7Khd,derraleves,,,,,,,,,1,,,,1,,,1
2120,Just not CN acceptable response. Because I didn’t come in on an AA fight I now have to queue for over an hour for my connecting flight. Not the service anyone should expect or accept!pic.twitter.com/j85u8AK8Ql,RickNunes72,,,,,,1,,,,,,1,,,1,
2121,@AmericanAir charges a hefty premium to allow people traveling together to actually sit together. So basically punishing customers. So basically there's literally no good reason to ever fly @AmericanAir when any other airline is available. https://twitter.com/Millicentsomer/status/1093127964269506561 …,FERALROBOTS,,,,,,,,1,,,,1,,,1,
2122,@AmericanAir the don’t care. CUSTOMER last. Profit FIRST,Fan610Sports,,,,,,1,,,,,,1,,,1,
2123,"@AmericanAir You guys delayed my flight, my luggage seems to be on its own vacation away from me, and your response has been “Oh well. We’ll get your luggage to you when we get it to you.” THE ABSOLUTE WORST!",makingsofashley,,,1,,,,,,,,,1,,,1,
2124,In solidarity with @SouthwestAir #wearefamily #airlinefamily #envoyairpic.twitter.com/94vDUu44xw,JeffMartin416,🛫 😞 🖤,,,,,,,,1,,,,1,,,1
2125,"@SouthwestAir Heard so many great things, gonna fly you for the first time. I love how I don't have to worry about an extra seat for my big body :). Can you give me a hint on when is the best time to look for a sale on BUF -> LAS from July 1-8?",dtaleman,,,,1,,,,,,,1,,,1,,
2126,@SouthwestAir glad to see the FAA stepping up and forcing you to ground your #BOEING737MAX8 plans since you wouldn't do the right thing and ground them yourself! Sad to see how #Southwest puts profit above human life!,SpiderSky67,,,,,,,1,,,,,,1,,1,
2127,Someone hacked into my @Delta account and fucking used all my miles on Magazines and I am livid,jaynellsays,😑,,,,1,,,,,,,1,,,1,
2128,"I was saying the same thing yesterday. They are terrible and really don't seem like they care they are terrible. At least @Delta seems to be trying when I have issues with them. Not to mention @AmericanAir fleet is way worse than other airlines, probably why all the maintenance",james23452,,,,,,1,,,,,,1,,,1,
2129,Never flying @AmericanAir again. Poor management and treatment of cusomters. Get it together.,AlisonSchwiete1,,,,,,1,,,,,,1,,,1,
2130,Think maybe @jumbo747pilot Will be at the controls to bring her to @HeathrowAirport ?,peter532,,,,,,,,,1,,,,1,,,1
2131,Riiiiight.... p.s. my flight was 2hr delayed due to your poor staff management. Thanks @AmericanAir for your poor customer experience.,Rhomberry,,,1,,,,,,,,,1,,,1,
2132,just them not doing their job again.. female gate agent never should have let them board the plane in la ..of course they won't even reimburse anyone,jasminstclaire,,,,,,1,,,,,,1,,,1,
2133,Geniallll!!!!!,johannespalma,,,,,,,,,1,,,,1,,,1
2134,@thepointsguy is there a step-by-step guide on how to use my @AmericanAir miles to upgrade my California to EU flights from economy to something else?,Richard_A_Hines,,,,,1,,,,,1,,,,,,1
2135,@British_Airways hello. Your Entertainment web pages all go to some sort of Proxy error.,ibnbattutah,,,,,,,,,1,1,,,,,,1
2136,never have I heard of delaying a flight over 40 minutes to wait on delayed passengers...... why @SouthwestAir??,rachelvjohnson,,,1,,,,,,,,,1,,,1,
2137,@AmericanAir: Suggestion: If you cancel a flight for a mechanical (AA174 Feb 17) and I’m delayed by 24hr ... and on my return (AA173 Feb 24) you cancel my flight more than 24hrs in advance (mechanical? low load? whatevs?) you should contact me! It’s called basic customer service!,AC_Burnside,,,1,,,,,,,1,,,,,1,
2138,Cons: • @SouthwestAir randomly canceled my MDW-LAS flight • Limited rebook options have me going through a scenic stop in Tucson • I lost my boarding position Pros: • My luckiest trips have started with flight problems • Vegas baby,VegasUnhinged,,,1,,,,,,,,,1,,,1,
2139,To when????,misskarenf,,,,,,,,,1,1,,,,,,1
2140,@Delta I'm trying to check in for a huge int'l trip and just got an error saying I need to present a CC at check-in... the CC that was used to pay for the trip is not mine. What do I do?,mattlangan,,1,,,,,,,,1,,,,,,1
2141,Arrival is right on the dot - well done @AmericanAir #HomeSweetHome,N2theClouds,,,1,,,,,,,,1,,,1,,
2142,Thank you @AmericanAir for a great ride home from #London and a great #sunset view. #travel #photographspic.twitter.com/JQFJSjxM8s,GaryRockDBA,,,,,,,1,,,,1,,,1,,
2143,Please make sure you pass on this special appreciation and praise to your Chennai team in India! Overall our experience was great traveling with kids in British Airways from DSM-DFW-LHR-MAA on 23 Dec and back MAA-LHR-ORD-DSM on Jan 16,WRITETOARUN_D,,,,,,1,,,,,1,,,1,,
2144,Jennifer from @SouthwestAir - THANK YOU! Customer service award goes to you!,vander_hooning,🏆 🥇,,,,,1,,,,,1,,,1,,
2145,"@Delta 3 hour delay at LGA because there isn’t a pilot, many of us pushed to a morning flight. Travel voucher to make up for this?",shivani_bhatia,,,1,,,,,,,1,,,,,,1
2146,Never mind the juice....look at those shoes!!,ShelleyZieroth,,,,,,,,,1,,,,1,,,1
2147,"Why don’t you just shut the fuck up? This is the most childish, bootlicking, petty thing I’ve seen on this god forsaken site.",ddn,,,,,,,,,1,,,,1,,1,
2148,"There wouldn't be America without Thaddeus Kosciuszko. And I like Hamilton as a person and whatnot, I just think there are at least 5 other people from the 18th century more influential than him. I have listened to the music, and it's quite good!",FrNickOFMConv,,,,,,,,,1,,,,1,,,1
2149,@AmericanAir absolutely disgusting customer service. the way youre company is treating passengers is completely wrong. very disappointed,sarahcoburn7,,,,,,1,,,,,,1,,,1,
2150,"Sorry, max 8, not a. Here's the storyhttps://www.npr.org/2019/03/12/702464564/should-you-be-worried-if-youre-flying-on-a-boeing-737-max-8 …",mirsasha,,,,,,,,,1,,,,1,,,1
2151,"*Boarding, want to use the #AppleWatch to scan* Gate agent: „I’m sorry we don’t do that anymore for security reasons, let me print you a paper copy.“ @British_Airways , this is not the right direction #digitaltransformation #TechTuesday",ofrischemeier,,1,,,,,,,,,,1,,,1,
2152,I didn't know kindness had to be shown on a schedule.,Claymore2211,,,,,,1,,,,,,,1,,1,
2153,@SouthwestAir in line at DIA to check bags for a 5.25 flight and the lines are not moving,stecc9,,1,,,,,,,,,,1,,,1,
2154,@SouthwestAir Any word on the flight service to Hawaii?,eileenkeeton,,,,1,,,,,,1,,,,,,1
2155,Safe to assume you already follow @_FloridaMan,jlanzmo,,,,,,,,,1,,,,1,,,1
2156,Up at 3:30 am for my flight to #Pink19 in Las Vegas. Thanks to @SouthwestAir for getting me there safely! pic.twitter.com/vTtikFEf7f,JaceFinman,✈️ ❤️,,,,,,1,,,,1,,,1,,
2157,"We love flying @southwest, just bummer only new members get companion pass. I will never fly enough to land a companion pass, but new chasecard members get it! But we will continue our loyalties to SW.",BigJA55,,,,,1,,,,,,,1,,1,,
2158,When you can’t wait for @AmericanAir to launch their nonstop flight to @HeathrowAirport! Book your tickets today at http://skyharbor.com/flyphx .pic.twitter.com/jUAbE6zWLc,PHXSkyHarbor,,,,,,,,,1,,,,1,,,1
2159,"My new “favorite” @americanair routine is having a seamless check in and wonderful flight experience, and then waiting forever for my bags at the carousel. 40 minutes last time, going on 30 now. At a hub no less",bradsurewould,,1,,,,,,,,,,1,,,,1
2160,"@AmericanAir Hi, I'm having trouble finding the right email address or form to discuss waiving a fee for reinstating miles with an agent. Can you please point me in the right direction?",jayniraz,,,,,1,,,,,1,,,,,,1
2161,"Hey @AmericanAir, AA 3326 ""departed"" half an hour ago but is now returning to gate due to unspecified maintenance issue. Flight crew has no additional info and app still says ""on time"". What's the story?",AviN456,,,,,,,1,,,1,,,,,,1
2162,"Had something similar on my bus home on Tuesday, heard everything I never wanted to know about OpenStreetMap Ireland and how this person was going to help them out by donating storage and compute cycles.",spynappels,,,,,,,,,1,,,,1,,,1
2163,"TRANSPORT/EVENTS NEWS: 1,500 children take-off with @British_Airways as the airline hosts a careers event for the Pilots and Cabin Crew of the future - http:// bit.ly/2B5m8m8 @KidZaniaLondon @KidZania pic.twitter.com/3Jk87Nuk0e",Midbusnews,,,,,,,,,1,,,,1,,,1
2164,Hi @British_Airways - can you help me understand why I can’t get mobile or printed boarding pass for LHR-WAW tomorrow? Says need passport check but never needed before. Something new? A real pain on such an early flight,JS_thatsme,,1,,,,,,,,1,,,,,,1
2165,Saying I will climb all over you is a physical threat not just annoying.,MarySwinimer,,,,,,,,,1,,,,1,,,1
2166,"@Delta is honestly the worst airline I have ever flown. Not only was I stuck on the runway for 2 hours on my way to Jamaica, but now we’re delayed on our flight home.",StaQ91,,,1,,,,,,,,,1,,,1,
