,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2411,@Delta @CocaCola @CNN @BrookeBCNN @ananavarro I like the napkin thing. Those who were creeped out are probably creeps. They took it to another level. It was #retro. Thoughts of better times. #Dontswipe Just write your number,B_RODcastLive,,,,,,,,,,,,,,,
2412,"We’re proud to name @Delta our Employer of the Year! Delta Air Lines is one of the top employers of Utah’s @AirForceReserve and @UTNationalGuard personnel, including one-third of our #F35 pilotshttps://www.419fw.afrc.af.mil/News/Article/1756542/delta-air-lines-named-wings-top-employer/ …",419fw,🏆 ✈️,,,,,,,,,,,1,1,,
2413,Let's get the @vegas to @Hawaii routes going! We are soooooo ready!,Dux51,🌋 ⛱️ 🕶️ 🥽,,,,,,,,,,,,,,
2414,"@Delta can’t believe You make flight attendants trudge through snow and stand at the boarding door in nylons, and heels #staywarmflightattendantspic.twitter.com/lEh4Fycmwk",BetoEMS13,,,,,,,,,,,1,,,1,
2415,"@British_Airways why on a flight from LCY to LIN, food and drinks were free but from LIN to LHR, we had to pay for both?",ASGossan,,,,,,,1,,1,,,,,1,
2416,"@AmericanAir last night we were told it would take about 4 hours from 8am to deliver our bag. Got a call this am to verify address and said they would call back before delivery. Still nothing. I have no idea what’s going on, where my bag is, or when it will be delivered",AggressiveHippy,,1,,,,,,,1,,,,,1,
2417,They only responded because he’s in charge of media for the most popular sport franchise in the world. AKA a big deal. They know millions of ppl would see their reply. That’s the only reason they got a response.,AuthenticBamBam,,,,,,,,,,,,,,,
2418,@SouthwestAir Hello it's me...I was wondering if after all this time you'd like to tweet?,DustinDreams,,,,,,1,,,1,,,,,,1
2419,@AmericanAir What are you doing to us right now now! We left Fort Myers at 7:43 pm and we are still on our plane sitting on the runway at DCA at 1:30am! We have small kids on the plane. This is ridiculous!,TimNY56,,,1,,,,,,1,,1,,,1,
2420,It’s the airport. I get excited if I find good beef jerky in an airport.,gtbynum,🤷🏻‍♂️,,,,,,,,,,,,,,
2421,Hilarious!!!! Don’t forget ladies... you have to foresee @British_Airways losing your bag to make sure you carry your contraceptive pill on you at all times!! You have to foresee their cock ups!! Their delay in replying was a month!!! “In the event of us fuckin up...” #joke pic.twitter.com/xY6GMfXqQZ,Chuck_Mck,,1,,,,,,,,,1,,,1,
2422,"@Delta so my seat just got switched to a window (from aisle). The curve of the plane pushes my shoulders into the other seat. there was a plane change, fine, but the seat configuration didn’t change (2-4-2). Answer: too bad. WTS! Oh and 5hr flight.",sgrand5000,,,,,,,,1,,,1,,,1,
2423,That's time for a whole lotta Chick-Fil-A and Coca Cola directly from the source.,1beardedgolfer,,,,,,,,,,,,,,,
2424,"@AmericanAir so let me get this straight. I pay for AC access via credit card, starting 11/1 I can’t get access if I’m not flying on a OW carrier? Is it allowed under the Contract of Carriage/AAdvantage to buy a refundable ticket and cancel it once I’m inside?",oknice13,,,,1,,,,,1,,,,,,1
2425,"Perhaps they are not ""normally"" reimbursed. However, your ground crew at SYR looked in my record and quoted a note that transportation costs back to ART would be covered. They also explained how to apply for reimbursement via your website. #keepyourpromises",BruceEmmerton,,,,,,,,,,,,,,,
2426,Hey @AmericanAir there are more than 180 people stuck on flight 313. We are getting close to an hour late while we wait for someone to find a shovel. Is anyone there? @NYDNBoroff @ReuvenBlau,danprice,,,1,,,,,,1,,,,,1,
2427,Dear @AmericanAir: Dallas storms and grounded planes are not your fault so I appreciate your staff trying so hard to help after a day of delays + a cancellation. Offer to hook us up with hotel vouchers and we’re golden. pic.twitter.com/BeIFZZaZJp – at Washington Dulles International Airport (IAD),djtweets,,,,,,1,,,,1,,,1,,
2428,"if you fly @Delta or @united make sure you bring a sticker on the flight, these hoes have cameras on there *eye roll*",nonsheylant,,,,,,,1,,,,,1,,1,
2429,"I travel fairly often and I just had the most uncomfortable flight ever on American. Not to mention it was FREEZING COLD on the plane, the gate agents were RUDE, and the boarding/deplaning process was horrendous. @AmericanAir",kingdey_xo,,,,,,1,,,,,1,,,1,
2430,. @prattandwhitney GTF™ #engines power inaugural #A220 flights by @Delta #DeltaA220 #FirstFlyersClub #Aircraft #Aviation #Aerospace #CivilAviation #RegionalAviation #avgeek #avgeeks #AeroEngine #AvMRO #MRO #WeArePW #Airbus @Airbus #PrattandWhitney @UTC http://www.sps-aviation.com/news/?id=893&catId=2&h=Pratt-and-Whitney-GTF-engines-power-inaugural-A220-flights-by-Delta-Air-Lines …,SPsAviation,,,,,,,,,,,,,,,
2431,Very cool Capt.!,svwhit,,,,,,,,,,,,,,,
2432,@AirAsiaSupport I read on the customer service on your website and on Skyscanner that the fee to check my bag was 20 dollars at the counter. Your stuff in. Ambrosia was very rude and charged me 40. I want a refund.,diegobmanga,,,,,,1,,,,,1,,,1,
2433,"Will there by WiFi on my flight to Nashville from LHR tomorrow, @British_Airways ? Thanks!",phillipsmark,,,,,,,1,,1,,,,,,1
2434,@southwestair Daniella working on flight #4456 is a total sweetheart!,DeWallGillespie,🥰,,,,,1,,,,1,,,1,,
2435,@Delta chose @Airbushttps://www.cnbc.com/2017/12/13/delta-to-announce-big-order-for-airbus-jets-a-major-loss-for-boeing.html …,slodka11,,,,,,,,,,,,,,,
2436,Which I am starting to doubt with the winter weather advisory in SYR.,conductorchik,,,,,,,,,,,,,,,
2437,Looking forward to flying with @British_Airways again next week!,Mr_A_Wainwright,,,,1,,,,,,1,,,1,,
2438,"They didn't make that route, FAA did. SWA still believes that 737 Max are safe enough.",seoulian,,,,1,,,,,,,,1,,,1
2439,Still on Dallas page!? I haven’t gone on Eagles page because I don’t care!!,LDD_Strong,,,,,,,,,,,,,,,
2440,#canadiandecencyisbestdecency true friends to . Thank you ! With USA !!,RobertWalter,🇨🇦 🇺🇸 🍁 ❤️,,,,,,,,,,,,,,
2441,He blocked me.,carlyfindlay,,,,,,,,,,,,,,,
2442,"Shoulda been Brady vs Brees, the NFL has lost me",rjd012,,,,,,,,,,,,,,,
2443,I hope you enjoyed it. Your passport. The sign of a frequent traveller when the cover starts to be a uniform colour interrupted by the odd baggage tag or security sticker!,MTWynne,,,,,,,,,,,,,,,
2444,"@British_Airways Trying to create a household account. Adding my wife by her BA Exec Club membership number and last name. Click accept TCs, Continue. Nothing happens! Page just refreshes and still asking to put in details for Nominated Person 1.",UXMarksTheSpot,,,,1,,,,,1,,,,,1,
2445,Hang on to your luggage Craig.,eabgj01,,,,,,,,,,,,,,,
2446,"I’m pretty sure @British_Airways made a similar mistake a couple of years ago but didn’t honour the mistake, just refunded money.. got slated for it..",barry206,,,,,,,,,,,1,,,1,
2447,Aw thanks!,shaudbroome,,,,,,,,,,,,,,,
2448,We missed this flight today due to a mechanical issue with @British_Airways flight out of Victoria Falls and desperately need @Delta help.,WICOM_,,,1,,,,,,,,1,,,1,
2449,@AmericanAir my flight has been cancelled tonight (5825) and I need to get home tonight. Why can’t I be transferred to United...they have a connection to get me home to Chicago through Houston!!,EmilyRachel1025,,,1,,,,,,1,,1,,,1,
2450,"True. Totally unprofessional, of an airline.",FunkyFilmCritic,,,,,,,,,,,1,,,1,
2451,Delta:(slowly gets down and throws $1000),GavinFuqua2,,,,,,,,,,,,,,,
2452,Y’all lying I didn’t see not one flight for that price,freebandzg5,🙄,,,1,,,,,,,1,,,1,
2453,Thank you for the prompt reply!!,seremd8a,,,,,,1,,,,1,,,1,,
2454,It wasn’t the end of the world. We got to Vegas eventually. I was more disappointed with the age of your plane to Vegas. No WiFi and no usb and old entertainment system. It looked like you’d bought an old Danair plane!,taxibroker,,,,,,,1,,,,1,,,1,
2455,Stuck in philly aka living hell,taylor_genier,,,,,,,,,,,,,,,
2456,"We're excited to announce that we've launched the @Chase @SouthwestAir program in #Dallas and #Denver ! If you're traveling stop by to say Bon Voyage! @ThePointsGuy agrees, ""one of the best travel cards of 2019"" ! https://hubs.ly/H0gbTz50 pic.twitter.com/ZtAu6EaNU4",IGexperiences,✈️ 👋,,,1,,,,,,,,1,1,,
2457,@AmericanAir Cam someone talk to the baggage team in STL? Yet again bags with Priority tags aren't first on baggage claim. Seems to be a regular occurrence here.,Adam_PHN,,1,,,,,,,,,1,,,1,
2458,"Glad you had such a good time in my state! Yes, we love our cold weather sports, too. We even hosted the 1960 Winter Olympics in Squaw Valley.",DawnCorleone,,,,,,,,,,,,,,,
2459,"Did you make it out, Carlos?",Becki_Habig,,,,,,,,,,,,,,,
2460,@AmericanAir Multiple times on my flights with no available ground crew to receive the aircraft. Your people are sleeping on the job.,FollowSven,,,,,,1,,,,,1,,,1,
2461,I don't mind it so much but don't like things like this! Still not comfortable with a ton of turbulence either.,3amjosh,,,,,,,1,,,,1,,,1,
2462,Was this a robo reply?,TimothyWhiseant,,,,,,,,,1,,,,,,1
2463,"Highest departure tax out of Europe, doubt it. However, good deals @British_Airways out of JFK. HOU-LGA on @SouthwestAir?",minerfan_14,,,,1,,,,,1,,,,,,1
2464,Here a receipt for the new purchase of my seat.pic.twitter.com/okRXkZgB1G,Ashney18,,,,,,,,,,,,,,,
2465,"@AirAsia @AirAsiaSupport have been really false on their commitments , have been waiting for a revert or status on case number 08852744 but still no response #badcustomerservice #needhelp #consumers",hekpm,,,,,,1,,,,,1,,,1,
2466,Where you going?,jeffreininger,,,,,,,,,,,,,,,
2467,Traveling with @British_Airways during #february ? you may be surprised to see us in the letters section in the inflight #BusinessLifeMagazine pic.twitter.com/3XPV3F9pdi,Norfolk_Deli,,,,,,,,,,,,,,,
2468,"already DM, NO RESPNOD",jen38806580,,,,,,1,,,,,1,,,1,
2469,"An absolute American Legend! Herb is one of our best and brightest! love the Guy, Phil & Nancy",philarooski,,,,,,,,,,,,,,,
2470,"Nice try. In the original tweet and thread it said nothing about that. I even looked at his timeline on his profile. Nothing. Many were asking. If added later, YOU need to read whole threads",BasketOfAwesome,,,,,,,,,,,,,,,
2471,Indeed! Stellar crew tonight!,DJMIKEYSWIFT,,,,,,,1,,,1,,,1,,
2472,I didn’t book this flight - is there anything at all that I can do at this point? Flight boards in 10 min,rhettypants,,,,1,,,,,1,,,,,,1
2473,"Appreciate you documenting the journey! Also wow, the travel drama was real.",reni_minestrone,,,,,,,,,,,,,,,
2474,I hate going back to United but they are cheaper and this flight was a disaster. I have to make the same flight in 2 montha,nicedomeKuhr,,,,1,,,,,,,1,,,1,
2475,Sent twice now??,woz099,,,,,,,,,,,,,,,
2476,"my @SouthwestAir flight left San Antonio 20 minutes late and arrived in Nashville 20 minutes early. my mom: “man, our pilot must have been speeding!” @EbarnettB",sydcbarnett,,,,,,,1,,,,,1,,,1
2477,Tommy Boy’d the shit out of my 50w Marshall amp to fly back to #Houston yesterday. Thanks @SouthwestAir for getting it there in one piece. pic.twitter.com/mwpJwK4Lv5,zachdespart,,1,,,,,,,,1,,,1,,
2478,Phoenix to Sacramento flight 1361,tmartin530,,,,,,,,,,,,,,,
2479,@SouthwestAir is no one working the counter at Detroit today? pic.twitter.com/hwkzflvjpb,Edotkuhns22,,,,,,1,,,,,1,,,1,
2480,"Dear @SouthwestAir, if you’re going to line us up to board and then make us stand here for 25 minutes, maybe give a quick update to let us know why we’re waiting around, #KThxBye",TheOneDanNelson,,,1,,,,,,,,1,,,1,
2481,"Congratulations @SouthwestAir for 20 Years of LUV @LIMacarthur! Thank you to local leaders from @TownofIslip, the airport advisory board, & senior exec representation from Southwest's Dallas headquarters & ISP station. #flymacarthur http://www.flymacarthur.com/isp-southwest-airlines-celebrate-20-years-of-luv/?fbclid=IwAR3t9EzkWlAWFxEw4M6qvLMOmgl7_hNNCKKR2LAB-7afJ2KpGIXpDJpgVhE …pic.twitter.com/0hOCtFqikX",LIMacArthur,,,,,,,,,,,,1,1,,
2482,Dear @TSA -- America is behind you on this. So are @WeAreALPA @ATCA_now - just waiting for @AmericanAir @SouthwestAir to realize ppl won't fly if they don't feel safe.,mom_cadet,,,,,,,,,,,,,,,
2483,Hey @SouthwestAir get your crap together. No likes spending the night at the airport because you screwed up. Thanks.,MarianneMaresh,,,1,,,,,,,,1,,,1,
2484,THE FLIGHT ATTENDANT SAW MY COMPUTER STICKER AND GAVE ME THIS @lacroixwater ON MY @Delta FLIGHT TO CANADA pic.twitter.com/xptr0rtVZ7,ChloeCondon,😂 😂 😂 😭 😭 😭 💯 💯 💯,,,,,,,,,,,,,,
2485,Got my row! It's all good!,Alison_Rose,,,,,,,,1,,1,,,1,,
2486,Saying sorry and not offering anything is beyond RIDICULOUS. BEYOND. You deal with business travelers often. I’m sure of it. This isn’t how you effectively offer good customer service @SouthwestAir,F3THarold,,,,,,1,,,,,1,,,1,
2487,"Would you though?! Well, you have shared status with me so that’s probably a yes!",loonylloyd,💓 💓,,,,,,,,,,,,,,
2488,No shopping just more jesus shitpic.twitter.com/AlKORMXXGV,WILLEM6,,,,,,,,,,,,,,,
2489,You didn’t die and you are complaining ???? Crazy,kmomma_,,,,,,,,,,,,,,,
2490,"Well, you guys tried! Runway was backed up from the storm. Hitting our missed #AA leg now. Storms rule airspace!",TrvlSpecialist,,,,,,,,,,,,,,,
2491,I love FlightRadar24. I tracked my parents BA flight back from Malta yesterday. They landed 20 minutes early at Gatwick! Sx,Wumpy,,,,,,,,,,,,,,,
2492,Saying weather takes their responsibility away from it,dcFaddy,,,1,,,,,,,,1,,,1,
2493,@Delta I just PMed you I’m on your flight DL1947. Just had a not so nice incident with your flight attendant Jay. It seems Jay don’t like disabled people with special needs.,albertonlibre,,,,,,1,,,,,1,,,1,
2494,"Oh great, thank you!!",bnw0625,,,,,,1,,,,1,,,1,,
2495,"@SouthwestAir don’t you dare duck our call again. We have been on hold for over six collective hours, and all instances have ended in the call being disconnected.",pmuwood,,,,,,1,,,,,1,,,1,
2496,"@SouthwestAir Now that Boeing 737 Max 8s are grounded, what should I do to see if my travel plans were affected this week.",SCdood,,,,1,,,,,1,,,,,,1
2497,"@AmericanAir hat's off to BNA's Monti Fluellen. Flt to MIA delayed/cancelled; he knocked my socks off with his efforts to get me to my destination. Now flying Wed, but not upset b/c of his efforts.",joe_t_williams,,,,,,1,,,,1,,,1,,
2498,Incorrect. There is also an American Airlines captain sitting in 1C. Seems like maybe someone is messing with the manifest? Makes the optics even worse in my opinion.,dselchow,,,,,,,,,,,,,,,
2499,Still sitting here. Haven’t taken off yet.,fancywhitebread,,,1,,,,,,,,1,,,1,
2500,"This is so interesting! Thank you for the information. Whilst I might not have grasped the full detail, I 'get the drift' ... 'off' course!",plutusa,,,,,,,,,,,,,,,
2501,Sucks doesn’t it ?!,psafetypodcast,,,,,,,,,,,,,,,
2502,Is @Delta marketing director on twitter?,sally_trainotti,😃,,,,,1,,,1,,,,,,1
2503,"@Delta I am trying to transfer sky miles from one account to another, it is telling me the receiving account cannot receive them for some reason, can someone help me?",bbhdqtrs,,,,,1,,,,1,,,,,,1
2504,I'd also be willing to accept unlimited alcohol without charge on all foreign and domestic flights,AdamJBaum,,,,,,,1,,,,,1,,,1
2505,@AirAsiaSupport hi. i just wanna ask about name on the ticket. my father will fly to langkawi and i check his name on the ticket is not the same like his IC. is it ok? or my fathe need to change it?tq,sya_ehoza,,,,1,,,,,1,,,,,,1
2506,Just love your glee Richard its great to see xx,annbeni,,,,,,1,,,,1,,,1,,
2507,@SouthwestAir - kudos to #SouthWest for smooth flight from Vegas to Cleveland yesterday! I was sure it would be cancelled with all the horrific weather reports! Also a thank you for your responsiveness via Twitter over wkend when I reached out with questions/concerns. You rock!!,kmuns67,,,,,,1,,,,1,,,1,,
2508,Welcome to the home of low fares and no legroom. @AmericanAir #pleasedontreclinepic.twitter.com/0GjdLmPmAH,lesuerg,,,,,,,1,,,,,1,,,1
2509,@SouthwestAir if my fiancé patents don’t make@it here for our wedding and u make him sad I will come for u,callmetatty,,,1,,,,,,,,1,,,1,
2510,It’s chaos here at the E gates.,aefordan,,,,,,,,,,,,1,,1,
2511,"I'm sorry, all I heard was ""I get to have @PopeyesChicken for breakfast!"" #MakingTheBestOfIt ;) get home safe",EctoCooler12,,,,,,,,,,,,,,,
2512,As bad as their supervisors' customer service apparently.,BamaGrits84,,,,,,1,,,,,1,,,1,
2513,Man ! @Delta really screwed me over today !,MacGyver_CBS,,,,,,,,,,,1,,,1,
2514,Eating during the boarding process is brilliant. Almost guarantees you an empty seat next to you... @SouthwestAir,kate_p_brown,,,,,,,,1,,,,1,,,1
2515,I'd go see that band,gregfuhrmann,,,,,,,,,,,,,,,
2516,"@Delta I think, we can go more paperless #paperless #airline #technologypic.twitter.com/Hw6gU3DrhH",E92VIJAYA,,,,1,,,,,,,,1,,,1
2517,@AmericanAir how are you helping passengers in cancelled AA734 flight from Phl to man? Do you have hotels?,khoney74,,,1,,,,,,1,,,,,,1
2518,@AmericanAir are all 737M8 flights being cancelled or is there a chance some routes will have a different plane to use? No available flights for me to re-book on to make a wedding this Saturday. :(,raquelmaya,,,,1,,,,,1,,,,,1,
2519,I've looked at their website and all flights to where I am going are sold out now the next 2 days. I even looked at an airport 2+ hours from my house & now those flights are gone. I literally called them a MINUTE after I got the email my flight was cancelled. Not cool at all.,AcousticDondo,,,1,,,,,,,,1,,,1,
2520,"Provide a side screen for the subtitles, make the subtitles small enough to read but not large enough to cover the screen. Any attempt of inclusivity of disabilities is far better than the asshole remark given here.",graveyarddates,,,,,,,1,,,,,1,,,1
2521,I am so disappointed. She wouldn’t even cancel my reservation for me or transfer me to a supervisor. Who can I talk to about this?,ABQEsq,,,,,,1,,,,,1,,,1,
2522,That stinks. Anyway you can send me pictures or video of the situation right now? And we can try to share your story on the news.,MrBelal,,,,,,,,,,,,,,,
2523,"@SouthwestAir this has been since 220 that I have been on hold, I have yet to speak to an actual person. @SouthwestAir is this #SouthwestHeart I have been disconnected 4 times now but I am still in the same place so I know it’s not my reception!",golay_kayla,,,,,,1,,,,,1,,,1,
2524,@Delta Hi - how can I add my Virgin Flying Club number to some Delta flights I have booked?,LinkYeah,,,,,1,,,,1,,,,,,1
2525,@SouthwestAir just cancelled our return flight! How are you going to make this right? We are already out $800 for canceling the flight to Phoenix. Now we have to find a flight home? Thanks for the late notice...again!,CSwais13,,,1,,,,,,,,1,,,1,
2526,"I wil cancell my flight tommorow, do i have any refund",Georgeluciano12,,,,1,,,,,1,,,,,,1
2527,"HOW ABOUT FOR ONCE WE HEAR, WE APPRECIATE UR KINDNESS TO THE ANIMALS SO WE WILL MAKE IT HAPPEN FOR U.",K9Cool17,,,,,,,,,,,,,,,
2528,Let him know plz. Working for an airline can be fought. Good employees need to know they are appreciated,TheMelinDUH,☺️,,,,,,,,,,,,,,
2529,"I have platinum status, means nothing compared to Delta’s program. Their app is total garbage, @delta’s is far superior. American was the best.",sellputs,,,,,1,,,,,,,1,,,1
2530,Yes that's awful.... but you're safe and in the arms of your loving wife.,PinkieDallen,,,,,,,,,,,,,,,
2531,TBF my heels were much shorter,yqshi,,,,,,,,,,,,,,,
2532,welp my ass is headed back home because @AmericanAir sucks dick. FUCK YOU AA. you're a fucking ripoff.,BigSto,,,,,,,,,,,,1,,1,
2533,I just sent a DM... thank you!,jfurn90,,,,,,,,,1,,,,,,1
2534,"Beginning today (1/7) you now have two options to fly #NonstopMKE to Dallas, either @SouthwestAir or @AmericanAir http://ow.ly/D7Z050k5REt",MitchellAirport,,,,1,,,,,,,,1,1,,
2535,The day is today the @PRAU_Uganda Health Run be there come let's save life. As we donate blood. @ntvuganda @nbstv @newvisionwire @rkabushenga @EastAfricaDaily @DailyMirror @publicrelations @APUSPRteam @PRPRPublicity @apr @CIPR_UK @Delta @bbstvug @RedPepperUG @AKasingyepic.twitter.com/h1Khav44mf,RolandSseruyima,,,,,,,,,,,,,,,
2536,@mspairport disappointing morning with what seems to be lack of preparation for the icy conditions and food service not being able to reach planes. I did enjoy sitting on the tarmac for hour and then missing my connection. @Delta let me know that it is an airport issue not theirs,lmk_mpls,,,1,,,,,,,,1,,,1,
2537,"Haven't gotten your ticket yet? @AmericanAir will be giving away two business class tickets to ANY destination in Europe, South or Central America that they fly to at Women's Travel Fest! Get in the running! --> http://buff.ly/2y4t5lJ #womenwhotravel #sheisnotlostpic.twitter.com/g8L38IWwK0",WomenTravelFest,,,,,,,,,,,,,,,
2538,Yeah it's getting ridiculous,Mr_Garrett1,,,,,,,,,,,,,,,
2539,*Fares Not Fairs,dennisupdike,,,,,,,,,,,,,,,
2540,Who needs bathrooms!??,YevP,,,,,,,,,,,,,,,
2541,Appreciate your help @AmericanAir pic.twitter.com/BX9xFGIzQf,ashpai1,,,,,,,,,,,,,,,
2542,We love @Delta! https://twitter.com/Delta/status/1090008990472392704 …,JaymeHiggins11,,,,,,,,,,1,,,1,,
2543,Woof @SouthwestAir that’s rough pic.twitter.com/6aYiUvX1Hp,JaysonRamsey9,,,,,,,,,,,,,,,
2544,"Got a window seat on my flight today and I know the guy on the aisle is just waiting for me to need to get up because of the several cans of @MillerLite that my outstanding @Delta flight attendant has brought me, but it is a matter of pride for me and I will not bend.",michaeltimmer,,,,,,,1,,,,,1,,,1
2545,@DaveWallsworth hey Dave. Would love to chat with you or @British_Airways about a feature I am doing on the A380. Please let me know what email to use,chriscunard,,,,,,,,,,,,,,,
2546,6days and counting until #liftoff with @British_Airways Got my #entertainment all lined up for the #longhaul #journey #travel #onboardhospitality #economy #airlines pic.twitter.com/86dOWpOWj6,CraigMcQuinn,,,,1,,,,,,,,1,,,1
2547,"@delta a sincere thanks to the excellent crew on DL2193 today. I fly a lot, and they were beyond terrific.",jacksondevious,,,,,,1,,,,1,,,1,,
2548,@SouthwestAir this is completely ridiculous. They have called my name and no has asked or is looking for me at the front. I not happy with this.,tuuta_poni,,,,,,1,,,,,1,,,1,
2549,Shocking but they always do when it’s kids holidays,emmahou43866154,,,,,,,,,,,,,,,
2550,Thank you @delta & @porsche for the gate to gate transport servicepic.twitter.com/CeYB37GSXU,FriendlyBanter,❗️,,,,,1,,,,1,,,1,,
2551,It's a great drive!,TSSpear,,,,,,,,,,,,,,,
2552,@SouthwestAir all day I was checking @flightaware I knew my plane was going to be delayed. My flight was at 8 PM and swa didn’t say anything until 645pm. Then cancelled the flight at 8 pm,636ian,,,1,,,,,,,,1,,,1,
2553,That legroom though!! Glad to have you!,AdobeExpCloud,🎉,,,,,,,,,,,,,,
2554,"@Delta horrible service! On a flight on ATL to SNA and they were checking bags with even with empty overhead bins! They loaded the plane 20minutes early, and they're was plenty of time and space for nobody to check their bag! Lazy and rude staff created a problem!",blairem88,,,,,,1,,,,,1,,,1,
2555,I think the fact that my place in line for a customer service rep is one hour and four minutes from now should tell you all you need to know about @AmericanAir,RangersBlonde,,,,,,1,,,,,1,,,1,
2556,@SouthwestAir The absurdity of having a flight canceled more than 24 hours out to be rebooked on a flight 12 hours later and now to have that significantly delayed is unacceptable. Especially when loyal customers chose to fly to an arrival an hour further...,RyanJohnGardner,,,1,,,,,,,,1,,,1,
2557,@SouthwestAir are you flying Boeing 737 Max 8 to Hawaii?,RyanAmirault,,,,1,,,,,1,,,,,,1
2558,Imagine if you were a bronze member,dakilla1500,,,,,,,,,,,,,,,
2559,Did you look into all the mechanical issues and hassle? I’m on the plane so I’m well aware that it will be in the air soon... what will be done to rectify the poor communication and multiple issues as well as an over 4 hour delay??,jbro_8,,,,,,,,,,,,,,,
2560,I am minded of checking in at West Cromwell Road...Happy days,DTunstall55,,,,,,,,,,,,,,,
2561,Glad to see you are getting around. Safe travels!! @TeamGleason,jtbeezley,,,,,,,,,,,,,,,
2562,"@Delta Is this legit? Seems like a phishing scam, wanted to ask the source. pic.twitter.com/BvVkJWgRJ3",80sforeverrocks,,,,,,,,,1,,,,,,1
2563,Trying to book a flight on @Delta and bought a gift card @@kroger to pay for it only to learn there’s a 72 hold that was NOT disclosed at the time of purchase. What if my flight is sold out??? Whom can I call from either company for resolution?,Tamz_Tam,,,,1,,,,,1,,,,,,1
2564,Well OK - short stop in Baltimore and we finally got here. @SouthwestAir crew on flight 4620 was fantastic! https://twitter.com/Dulles_Airport/status/1084587197381165057 …,VegasSteve,👍 🎯 🇺🇸,,,,,1,,,,1,,,1,,
2565,"And the thing is, when I was cabin crew in the 80s, we used to be. It's something the companies have removed from their terms and conditions. My starting salary in 1985 was 9k. My apartment cost 37k. Today's salary is 11.5k. Same apartment is 234k. Impossible.",Mistyff999,,,,,,,,,,,,,,,
2566,Day 155 of Protest: @Wikipedia please reply to Lama Ji.,IngloriousSadhu,🍊,,,,,,,,,,,,,,
2567,Not happy @British_Airways you ground crew manager in EDI needs to learn how to speak to a deaf passenger and ithout the need to shout. That’s complaint number 7 going in on this issue,Craig99820005,,,,,,1,,,,,1,,,1,
2568,"Just heard from a family member that @AmericanAir cancelled her flight, and is refusing to assist in rebooking. She's missing her flight home to Columbia, because they ""can't help her"" pic.twitter.com/pyh0G0Qz5j",0PT1MU5_CR1M35,,,,,,1,,,,,1,,,1,
2569,"Aloha, Hawaii! @SouthwestAir just released their flight schedule to the Hawaiian Islands. Let us book your Hawaii vacation with Southwest! Call our office today and mention this post! These low fares are limited! #SouthwestSaysHello #Aloha #GadaboutTravel #Hawaii #HawaiianIslandpic.twitter.com/8ZLXtiTVYs",gadabouttravel1,,,,1,,,,,,,,1,,,1
2570,Better than the current 738,JimmyTheCypriot,,,,,,,,,,,,,,,
2571,"@AmericanAir Way to welcome your international travelers to the US. 2 adults + 2 toddlers rushing to get to gate for the domestic leg of flight out of OHare after 12 hrs in the air and not able to pass through because they were issued ""pre"" boarding passes. ShameOnYou",TechnoGram60,,,,,,1,,,,,1,,,1,
