,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
1131,Flag carrier @British_Airways adds @LondonEVCompany taxis to its Premium Drive Transfer fleet. https://www. businesstraveller.com/business-trave l/2019/01/10/british-airways-adds-london-taxi-transfers-at-heathrow/ … pic.twitter.com/McAJZpnLnq,BTUK,,,,,,,,,,,,,,,
1132,"@SouthwestAir I’m really not excited to fly with SWA on my severa upcoming trips that involve travel on a Boeing 737-MAX 8. Worldwide, airlines and governments are grounding them.",NMSkiaddict,,,,,,,,,,,,,,1,
1133,@British_Airways terrible service so far. I complained (case 18597770) and had to chase for a response. When I got a generic apology with no plan I responded and have chased again and had no response.,Tony1od,,,,,,1,,,,,1,,,1,
1134,It's actually like $70/month for Tmobile One. Don't let these cucks lie to you,yveddevy_,,,,,,,,,,,,,,,
1135,"Thanks, will do!",Cherrymink,,,,,,,,,,,,,,,
1136,@SouthwestAir why are we now on standby for a flight we’ve already paid for? WN1303,CJStark,,,,1,,,,,,,1,,,1,
1137,Thanks for your reply. There were multiple errors that won’t fit in 280 characters. I’ll take it to the next step. The DOT will reopen someday.,Mass_MD_,,,,,,,,,,,,,,,
1138,Falling in like w/ @SouthwestAir and this is one reason why. What you see is what you get. Sometimes total fare on legacy #airlines like @Delta @AmericanAir @United is 2x vs. what you first see.https://skift.com/2019/01/24/southwest-ceo-we-wont-introduce-basic-economy/ …,michaelstitt,,,,,,,,,,,,1,,,1
1139,"""All of a sudden"" WTF? Nobody has any clue how anything works!",Dredondo56Dr,,,,,,,,,,,,,,,
1140,Approved for #rapidrewards card during checkout on SW. Card info doesn’t transfer back to SW to use for the purchase. Can you help a gal out @SouthwestAir @ChaseSupport ? I entered my rapid rewards number on the chase app so I assumed it would flow over but it doesn’t.,StormyBultas,😔,,,,,1,,,,,1,,,1,
1141,@AdamTuss so what is happening with flights on the max8? Are they all being cancelled or being near on time with other planes? What %age flights can't get new planes and are cancelled? I have a flight in 3 weeks on a max 8 and I don't what best course of action @AmericanAir,DidEspiGetAHit,,,,,,,,,,,,,,,
1142,"I want to have the gig of naming @PBR bulls! #nameabull here are some ideas: @blakeshelton , “Clarice” (said in a Sir @AnthonyHopkins voice by EVERY1, “Medical-Bill” , “Hump-a-Long Catastrophe”, “Ouch”, @Delta , and “Your Sponsorship Here” @Cigna @Allstate @HEB",JeffRoper,,,,,,,,,,,,,,,
1143,"I see it all over this place now! Is it a must, or a pure tourist trap like Hymans?",DarrenGoldwater,,,,,,,,,,,,,,,
1144,Plus sides of being stuck @PHXSkyHarbor while flight to Chicago delayed 3+ hours: 1) I have lounge access (thanks @British_Airways ) 2) Wifi is far better than any of the hotels I've stayed in the past two weeks! 3) US airlines/airports seem much better at keeping you informed.,BrianCoffeeSpot,,,1,,1,,,,,1,,,1,,
1145,How fast can Allen hurns run?,GraysonVines,,,,,,,,,,,,,,,
1146,I’ve been looking. It looks like they’re flying Saturday-Tue or something along those lines. Try those days.,freetravelguys,,,,,,,,,,,,,,,
1147,"Love you @BebeRexha one of a kind singer. Keep up with your great work in Music, you inspire a lot of people. One of the most beautiful woman in the industry. When will you tour in South Africa?",NeethlingRoan,,,,,,,,,,,,,,,
1148,"@Delta, its not just the #ME3 with dubious business models.https://twitter.com/Airlineroute/status/1091251290938568706 …",dalscope,,,,,,,,,,,,,,,
1149,*ATTENTION anyone that flies Delta* Check. This. Out! @Delta's $95-a-year credit card has doubled its welcome #bonus for a limited time — making it a #nobrainer for regular #Delta #flyers - @businessinsider #BusinessInsiderhttps://apple.news/AWs8zA0fjTBO6x_r-JFp9vw …,iCrewMobile,,,,,,,,,,,,,,,
1150,@SouthwestAir it’s been 1/2 hr sitting on our 3 plane (still not moving) to Charlotte and still nobody loading our luggage at MDW!!!!! Now 7:09 was a 2:35 flight!,EKMogg,,,1,,,,,,,,1,,,1,
1151,This is for future flights. I have has 3 future flights canceled with no explanation,BlakeKrek,,,,,,,,,,,,,,,
1152,It is solved by air Asia customer care . Thank you for prompt reply,kartikchk,,,,,,1,,,,1,,,1,,
1153,Thanks @delta for outsourcing your customer service. No one can seem to figure out how to change the one letter I repeatedly told your rep was wrong. @delta really means Doesn't Ever Leave The Airport.,HammettJessica,,,,,,1,,,,,1,,,1,
1154,"I saw this article today, and I immediately thought ""full circle"" with . @Delta . @DeltaNewsHub, the requested Tokyo routes, and everything I've talking about. I believe @mspairport should push for this 2 happen . @flyPAL Airlines Hints At SkyTeam Preferencehttps://liveandletsfly.boardingarea.com/2019/03/12/philippines-airlines-skyteam/ …",Bay23415326,,,,,,,,,,,,,,,
1155,Four of them have and the fifth is currently in Singapore being fitted. @DaveWallsworth has been talking about this recently.,TAFKAHank,,,,,,,,,,,,,,,
1156,"@SouthwestAir Us loyal SWA flyers here in Wisconsin who utilize General Mitchell (KMKE) would strongly advise and appreciate the #Indra travel advisory extend through Wed (1/23). There remains a Winter Storm Warning until Noon on Wed in Milwaukee, and all surrounding areas.",ZacZiebarth,,,,,,,,,,,,,,,
1157,We are coming...don’t act like you don’t like the solo visit to the factory @logspic.twitter.com/1cme2jxNTp,kerrdigan,,,,,,,,,,,,,,,
1158,"This is why I love southwest and will fly with them whenever possible and always recommend them, I had to change my flight 3 times this December and wouldn't have been able to do it on any other airline",djexit,,,,1,,,,,,1,,,1,,
1159,Discount code is fly another airline.,KabbanTarek,,,,,,,,,,,,,,,
1160,Even the airports pretty! Good bye a Hawaii... it’s been truly lovely @TrumpHotels @Delta @OssurCorp @gohawaii @P&Opic.twitter.com/IIxfXOAgnI,sharrond62,,,,,,,,,,,,,,,
1161,520.00 for round trip checked baggage on a 347.00 ticket. Well played @AmericanAir #oversizedbaggagerackett,Romison714,,1,,,,,,,,,1,,,1,
1162,Hey @Delta how come my known traveler ID is entered into my profile but when I load my boarding passes none of them are TSA Pre Check? It worked with my united flight.,joelstojkovic31,,,,1,,,,,,,1,,,1,
1163,Great customer service for sure.,jimhunt1961,,,,,,,,,,,,,,,
1164,Yes I had.,WaleadAtiyeh,,,,,,,,,,,,,,,
1165,"“Another aspect that will be increasingly important is employee wellness - whether employees go through mental health issues or physical health issues is incredibly important to the workplace culture.” - Allen Gomez, Global Diversity & Inclusion Team, @Delta pic.twitter.com/9gFsMCh9ZQ – at FSU College Of Business",FSUBiz,,,,,,,,,,,,,,,
1166,@SouthwestAir Are bike boxes still $75 miles each way?,ChrisLengquist,,,,,,,,,,,,,,,
1167,@AirAsiaSupport Hello I presented my complain through eform. Up-to now I have never been attended to. It's a month trying to explain myself.,DorcasTarus2,,,,,,1,,,,,1,,,1,
1168,Because we're delta air lines and life is a f-ing nightmare,jitter_bug0215,🎵 😂 🎵,,,,,,,,,,,,,,
1169,Not confidence inspiring though I did make it to dc today in a 737max8 @boeing @AmericanAir https://twitter.com/kenvogel/status/1105546135555489799 …,WendyWendlandt,,,,,,,,,,,,,,,
1170,"I believe Delta has 700+ planes, must have been the SAME one.",Mike00541432,,,,,,,,,,,,,,,
1171,We fly in early May 7th and leave early May 10th.,maryyy723,,,,,,,,,,,,,,,
1172,Yes. March 27,BittySmash2012,,,,,,,,,,,,,,,
1173,This ten minute @Delta A220 video started with 40 Gigs of footage! The hard part is *always* the editing. #A220FirstFlyershttps://youtu.be/MP1EeNE6N10,JebBrooks,,,,,,,,,,,,,,,
1174,I think it will go 777X and A350 way,MattCarter86,,,,,,,,,,,,,,,
1175,"Absolutely, hopefully he likes peppermints.",UlwellingRacing,,,,,,,,,,,,,,,
1176,The people asking for details and context are missing the point. No context needed. What the captain did is unacceptable.,BellaDonna810,,,,,,,,,,,,,,,
1177,I’ve been on hold for 25 minutes?,frothylowsky,,,,,,,,,,,,,,,
1178,"Vegas in June, was a little worried",DungeyPau,🙂,,,,,,,,,,,,,,
1179,Beyond disappointed in @SouthwestAir. I’m pretty sure I’ll not be flying them again for a LONG LONG TIME. If ever. And I flew a lot.,kristinstaszak,,,,,,,,,,,1,,,1,
1180,I think you missed the part where I said I don’t care.,bambenek,,,,,,,,,,,,,,,
1181,@AirAsiaSupport Hi..I need to make a changes of the date of birthday,ABDHALIMBINABD2,,,,,,,,,1,,,,,,1
1182,"Note to self. When flying Delta, find out what seat Mike was in.....",pellaboy,,,,,,,,,,,,,,,
1183,@Delta There is a nigger on the next plane,McDolandsNZ,,,,,,,,,,,,,,,
1184,"@AirAsiaSupport How comes my booking number KTLLVD does not showed in ""My Booking"" there? I want to update for earning the Big Points, but seems like got issued. pic.twitter.com/NCwrlND1C3",JuneResources,,,,1,,,,,1,,,,,,1
1185,"@AirAsiaSupport hi, i need your help to amend date of my flight ticket pls. Urgent",santiezyan,,,,1,,,,,1,,,,,,1
1186,Hey @Delta if I’m flying to Edmonton through Seattle do I use the international Delta terminal or the domestic terminal at LAX?,samtripoli,,,,1,,,,,1,,,,,,1
1187,"Dear @AmericanAir, Who do I talk to regarding the lack of cookies on the two most recent AA flights I’ve taken? Very disappointed.",whatcaitlincost,,,,,,,1,,,,1,,,1,
1188,I think that makes you the pilot.,old_new_dad,,,,,,,,,,,,,,,
1189,Hey @SouthwestAir what do you have to do to be mailed drink coupons? We have the Southwest Visa CC and are Rapid Rewards members,JessicaTMcFall,🍸 🥃 🍻 🥂,,,,1,,,,1,,,,,,1
1190,@AmericanAir flight #3163 WTF? We are already delayed and had to return up the gangplank,Agrostophile,,,1,,,,,,,,1,,,1,
1191,I'm a very frequent flyer of SWA because of what he created. I know my fellow business travelers feel the same. Sorry for your loss.,RocklandUSA,,,,,,,,,,,,,,,
1192,@SouthwestAir how does one determine if ticketed reservation’s flights are impacted@by Max isssue? If I get@red@message saying you@can change your to mry does that@mean I should@change? Or what? My flight are den phx 3/28-3/31,outfar2,,,,1,,,,,1,,,,,,1
1193,"@MaureenUmehFox5 @stevechenevey I fly @SouthwestAir all the time for work & have been on the 737Max, which was a more room & a better ride. However, now I'm concerned & would hope that they are grounded until @BoeingAirplanes can ensure with proof that this will not happen again!",KarlLissade,,,,,,,,,,,,1,,1,
1194,"BREAKING: Out of an abundance of c̶a̶u̶t̶i̶o̶n̶ risk, SW won't ground the 737 MAX aircraft that keeps crashing & killing its passengers. Enjoy your flight. PS: NO you may not change to a non 737 Max unless you pay us a fat cancellation fee. Enjoy your flight.",paulgla,,,,1,,,,,,,1,,,1,
1195,Waiting for your reply.....,Samrat97155786,,,,,,,,,,,,,,,
1196,Why is it delayed???,nicole_usetheH,,,,,,,,,,,,,,,
1197,@Delta Online check-in not accepting Canadian passport numbers. Just gives error message to correct passport number (that is clearly correct).,dustinloomes,,,,1,,,,,,,1,,,1,
1198,We will have all your updates.,jeffc0618,,,,,,,,,,,,,,,
1199,"On May 6, 2004, the two-part finale of Friends aired on NBC, and The Tonight Show with Jay Leno was taped on the set of Friends, so I guess your situation is a bit similar.",BillSpalding3,,,,,,,,,,,,,,,
1200,I’m sorry for what you went through. Southwest needs to speak up about this. Hopefully said employee is no longer with company. This behavior is not okay.,themama0710,,,,,,1,,,,,1,,,1,
1201,Several passengers in our group received vouchers due to the inconvenience. Looking for similar treatment since we know it’s possible that you can grant this,kit_kat125,,,,,,,,,,,,,,,
1202,"Yeah, but over 5 hours on those crammed Southwest seats? I DON’T THINK SO!",PaterHumor,,,,,,,,1,,,1,,,1,
1203,Flight status isn’t the issue. Training is. WHY are there so many alarms sounding here? I don’t experience this anywhere else.,KarenBrown,,,,,,,,,,,,,,,
1204,"@Delta booked a flight to Dublin on April 12th, 767-400 from JFK. Will WiFi be available? I don’t see it for pre-purchase. Thank you!!",sjb03008,,,,,,,1,,1,,,,,,1
1205,T minus one month till @SouthwestAir comes to Hawaii. Can’t freaking wait!! #bestairlineaward,djsfit,,,,,,,,,,,,1,1,,
1206,"Plane circled DCA for about an hour, had de-icing mechanical problem, diverted to PHL. Entire plane of people are now waiting for a new plane, lots of confusion, and @AmericanAir announces “if you have admirals club access you may use it.” What about the rest of us??",HaynesBunn,,,1,,1,,,,1,,,,,1,
1207,Can I DM the information? What do you mean by ‘will be dealt with internally’? Are you going to swipe it under the carpet?,ParsimKaushik,,,,,,,,,,,,,,,
1208,So my 5 pm @AmericanAir flight to DC is delayed until 6:40 pm. They moved me to the 6 pm. But my DC to Birmingham flight leaves at 7:50 pm. We don’t land until 7:30 pm. My bags won’t make it with me to Bham. Problem? I’m being driven to Selma. Will American deliver them to Selma?,rolandsmartin,,1,1,,,,,,1,,,,,,1
1209,@AmericanAir Yet another prime example of how effective and thinking on their feet that the AA Twitter team is. I switched routing mid flight because of delays. Checked bags couldn’t make it to new flight but Twit team reached out to baggage and kept bags on original flight.,grey_now,,1,1,,,,,,,1,,,1,,
1210,@SenJohnKennedy @SenBillCassidy Here’s a novel idea: how about end this government shutdown. I’d really like federal workers to get paid and get back to work. Also not gonna fly until this is over. @Delta @AmericanAir - put pressure on Senate to refund jobs that make us safer,MareBrennan,,,,,,,,,,,,,,,
1211,Glad you arrived well! Please tell us that you will work at casting these days! I hope you will have a word in chosing the cast!,Mirela72876726,,,,,,,,,,,,,,,
1212,"@Delta hey, I’m glad I paid money for the window seat! Got the best views. Not claustrophobic at all #DL2634 #falseadvertisement #skymilesmember #unsatisfiedcustomerpic.twitter.com/a9Y1g4L7gk",soarinflyin,🤷🏽‍♂️,,,,,,,,,,,,,,
1213,I never knew the crew bunk area existed! Was also fascinating to see where the CVR and FDR are housed! Total #avgeek afternoon!,Vanillapilotlhr,,,,,,,,,,,,,,,
1214,Delta is the only way to go,Nestor_Lira,👏🏼,,,,,,,,,1,,,1,,
1215,07576264 and 09312506 and there are several emails to follow up and we have provided all documents.,swati97386333,,,,,,,,,,,,,,,
1216,Now we need to see the wedding pics!! Pics or it didn’t happen,super_yorch,😝 😎 😘,,,,,,,,,,,,,,
1217,"At the risk of flying off the handle, I cut my losses and said fuck it. I’ll buy another. I just want to get home. (This luggage fisco lasted about 45 minutes) I’m now home at 4am Thursday after half a day long dick-kick from @AmericanAir",Ri_Car_Dough,,1,,,,,,,,,1,,,1,
1218,"Thanks, is that premium or business?",Oliver_Catt,,,,,,,,,,,,,,,
1219,Same thing @jlelso complained about last night! Only gets errors.,RWOBedford,,,,,,,,,,,,,,,
1220,"Yup. I’ll have centurion in LAS. Alas, nothing in JFK.",JonoH,,,,,,,,,,,,,,,
1221,@Delta Hi there! Do you offer free confirmed same day change or free standby to earlier flights on the Shuttle flights?,AirlineFlyer,,,,1,,,,,1,,,,,,1
1222,I don't understand why I paid close to $650 for 2 round trip tickets from Denver to Vegas for a 3 day stay and tickets to Hawaii are under $100 @SouthwestAir,ShadloPadlo,,,,1,,,,,,,1,,,1,
1223,Loves booking my flights via @British_Airways - my fave way to fly #cyprus #holiday #flights #ba #BritishAirways,MrsLouisaT,,,,1,,,,,,1,,,1,,
1224,"@SouthwestAir My Friday flight was cancelled due to the plane being grounded. Been trying to reach customer service since yesterday. Was on hold for 2 hours last night and then the line cut off. Today my estimated wait time is 87 minutes. Unimpressive, Southwest.",monicabernstein,,,,1,,1,,,,,1,,,1,
1225,Keeps getting later and later.pic.twitter.com/QD0f6JHWJJ,CindyCass78,,,,,,,,,,,,,,,
1226,"I just realized on Javi's first flight, @SouthwestAir gave us a little certificate for him that I saved for his baby book. We didn't get one for Julian today and I didn't even take a picture of him on his first flight. #2ndkidproblems #momguilt",jackley7,,,,,,,,,,,,,,,
1227,"1) Just got asked if @Delta is good for flying with kids and this was my response: We had a horrible experience with Delta over the holidays (2018), I'm actively avoiding them now. Delta moved the flight 10 minutes earlier after we'd arrived at the airport, we ran to the gate...",WallisWT,,,,,,,,,,,1,,,1,
1228,"On calling @British_Airways support, they wouldn't help & told him it would be a no-show!! I mean, seriously? #BritishAirways didn't bother to refund the flight. He also tried to call British Embassy from the Madrid Airport, they wouldn't response! DO NOT FLY #BritishAirways",ButterChicken07,,,,1,,,,,,,1,,,1,
1229,Thanks @SouthwestAir for the worst flying experience ever.,alexsevans__,,,,,,,,,,,1,,,1,
1230,Very nice gesture by American. @KLM didn't even send me a thank you note.,CardioIAN,,,,,,,,,,,,,,,
1231,"An @AmericanAir MD-83 [ #N9629H] landing on 18R at Dallas/Fort Worth International Airport ( @DFWAirport) on November 13, 2017 #avgeek #DFW #KDFW #DFWAirport #AA #AAL #AmericanAirlines #MD80 #McDonnellDouglas #4K #UHDhttps://youtu.be/1YyDWoFrwNs",AircraftVideos,,,,,,,,,,,,,,,
1232,@AmericanAir Flight 1011... our plane was given away. We moved to D34 for another plane... which they tell us has a maintenance issue. The plane has been at this gate since 2pm.,HanlonJosephD,,,1,,,,,,,,1,,,1,
1233,Now my bags are showing they were not loaded on my plane. What next?,TAPastor72758,,,,,,,,,,,,,,,
1234,Crap that sucks,cricckket,,,,,,,,,,,,,,,
1235,Sent - Thanks!,ctroysmith,,,,,,,,,,,,,,,
1236,That will be wonderful. I have happy memories of flying London to Aberdeen in 1965 after a three day flight from Aden in an RAF Argosy.,Gladiolaman,,,,,,,,,,,,,,,
1237,@AirAsiaSupport 09459084 Please help urgent,NinachrstnSa,,,,,,,,,,,,,,,
1238,"@Delta unacceptable service in YEG. Mechanical issue on the plane, no updates beyond ""we have no updates"" for hours. Current options for rebooking are getting home midnight tomorrow if this plane doesn't go. #disappointment",RebesaurusRex,,,1,,,1,,,,,1,,,1,
1239,I was thinking that they'll need to update as well this morning!,L4ur4D,,,,,,,,,,,,,,,
1240,RT @pilot_george_ : @SpaethFlies @markparbhoo @Telegraph Well technically @British_Airways only have 35 now. They retired one last month. 34 very shortly too. #avgeek #aviation #b747 #b747 -400,AvEcuadorRT,,,,,,,,,,,,,,,
1241,I guess I missed the part of your original post about your concern for others.,KatieKrug1,,,,,,,,,,,,,,,
1242,These lovely Ladies all perished in the Ethiopian Plane Crash of the Boeing Max 8 Aircraft. I don’t get why SW Airlines & American Airlines won’t err on side of safety & ground these planes. I will keep this in mind when considering future business with @SouthwestAir @AmericanAir pic.twitter.com/b0llqTpu8f,iamEarlJordan,,,,,,,,,,,,,,,
1243,Excited to spot @AmericanAir’s TWA livery this morning on the ground at Newark! Made me do a double take as we taxied by! pic.twitter.com/qjk3DgNGWF,MTL_STL,,,,,,,,,,,,,1,,
1244,"Thanks for your response - I have sent a DM. I'm still having no luck despite multiple tries using both the website and the app, as well as trying to pay both with my card and also trying with just my Avios",editmonsta,,,,,,,,,,,,,,,
1245,"also thank you @Delta for making this even worse, heartbreak + $500 non/refundable ticket down the drain, my fav combo",rowan_ffc,😍,,,1,,,,,,,1,,,1,
1246,But would you get a refund ?,CPonce593,,,,,,,,,,,,,,,
1247,"Tesla possibly the most unreliable vehicle on rd past 6years, multiple motors are common, plus theyre huuge, impractical at that size and all sold at a loss. &they dont do300 around town",MarkyMark1978H2,,,,,,,,,,,,,,,
1248,We are waiting to board @southwestair! Day 1 of our makeawishcstx to waltdisneyworld! They are going to have him do the preflight announcements. Josiah is so… https://www.instagram.com/p/Bu-Rc2unKEaKGjKZcY0yZeuD1ZPD6gafhmtq-Y0/?utm_source=ig_twitter_share&igshid=yewctsv89u67 …,robbiebridges,,,,,,,1,,,1,,,1,,
1249,"Unless @AmericanAir can help us with a compassionate and kind solution, I will be stuck driving 500 miles with two animals in the car by myself. My family doesn’t need any more worry or stress. How can we do the right thing here? My DMs are open. Thank you.",punkrockjarred,,,,,,1,,,1,,,,,,1
1250,@KrisSheehan Someone sounds bitter they’re not in first class,CatFlights,😂,,,,,,,,,,,,,,
1251,"Thanks Neil. It’s really disappointing, mostly when there are still sits available at that flight. Well, price is now 5 times more.... #scam pic.twitter.com/0Zh4eICIc0",AcetaClara,,,,,,,,,,,,,,,
1252,Landed at #MSY @NO_Airport @Delta #DL1423,saab007,🛬 ⚜️,,,,,,,,,,,,,,
1253,Sorry I was grumpy @SouthwestAir I'm feeling the luv with the way you have taken care of me!!!,DeaconessLisa,,,,,,1,,,,1,,,1,,
1254,"So forgive me if I don’t care if my day didn’t go how you wanted it to. You screwed up. No, not you the 28 year old they pay to do their social media. The company screwed up",kevandbenedict,,,,,,,,,,,,,,,
1255,What a beautiful (speed)bird!,KateRoar1,,,,,,,,,,,,,,,
1256,"Airfrance is boarding ladies first, priority boarding on all flights today for #internationalwomensday Love it! #skymileslife @airfrance @Delta pic.twitter.com/unBmjHujbJ",HelenaStone,,,,,,,,,,,,,,,
1257,"100%? Are you saying that your social media desk already knows more about this incident than international authorities, the manufacturer, and others with actual knowledge?",edl222,,,,,,,,,,,,,,,
1258,Omg F,redmjra,,,,,,,,,,,,,,,
1259,Get all airlines that operate here to create a traffic jam http://www. worldairportguides.com/bangkok-bkk/ai rlines.php … #SaveRahaf,zunityofone,,,,,,,,,,,,,,,
1260,"Southwest has been good to me too. However, that doesn't mean our experiences are universal. Please don't throw other disabled people under the bus. There's no shame in asking for the accommodations you need.",llcycore,,,,,,,,,,,,,,,
1261,So sad Teresa. I feel for you. It's downright appalling. I think it's part of the culture created by the merger with America West. They were rough. And they still are. They have watered down everything that was good about being EP on AA.,ArgieLAX,,,,,,,,,,,,,,,
1262,@AmericanAir you should not have waited for @realDonaldTrump and @FAANews to ground your 24 #737MAX planes leaving your customers in the lurch. Is this any way to run an airline?,LauraC305,,,,,,1,,,,,1,,,1,
1263,Aye after the shutdown y’all going be hiring?????? @SouthwestAir,theStoryofArose,,,,,,,,,,,,,,,
1264,@AmericanAir this has to be the worst trip in a while,johntrellbowles,🤦🏾‍♂️,,,,,,,,,,1,,,1,
1265,"I'm not, because unless @SouthwestAir give me a discount code, I'm not flying ANYWHERE, PERIODT!",Sammy_Socialite,,,,,,,,,,,,,,1,
1266,"You’re right. Crandall was a visionary, achieved a lot and is an interesting person too. But Herb was right more often. Herb and Crandall were two of the last real characters in that business.",greg_otto,,,,,,,,,,,,,,,
1267,"You're not going to be struggling for comfort on a 787, 777x or a 350xwb. I agree it's not a race to the bottom but if newer more efficient jets are coming along it'd be silly not to take advantage, allows them to be more responsive and lower their environmental impact per person",PhilJShackleton,,,,,,,,,,,,,,,
1268,And the sunset ton the ride home. Great job today @AmericanAir pic.twitter.com/IiDSXLnDSk,wmoore76,,,,,,,,,,1,,,1,,
1269,@Delta @MCO ready or not- here we come! #airports #redeyes #cominghomepic.twitter.com/nXK2Y21Ha5,MJTorres1230,🛫 💕,,,,,,,,,,,,,,
