,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
1631,"N8329B - First @SouthwestAir plane to fly to Hawaii. Operating as WN8725 from KOAK to PHNL on F.A.A. ETOPS certification flight. Tomorrow the flight plan has this plane flying home to KDAL Love Field nonstop, which will be another first for Southwest Airlines. #avgeekpic.twitter.com/wKWV3jo0xt",dougkempf,,,,,,,,,,,,,,,,1,
1632,19th Jan 2019: India’s Republic Day is an Official Date. Why @AirAsia @AirAsiaSupport still open for sale on 23rd of January ? Is it for marketing purposes? You think you can take this thing lightly by saying Apologies due to Airspace closure bla bla.. pic.twitter.com/vzTimlq6WV,MieraTAN,😡,,,,,,,,,,,,,,,1,
1633,@British_Airways it’s no surprise at all that check in hasn’t opened on time. pic.twitter.com/ftvaZ4fXPJ – bei Miami International Airport (MIA),marksimonpowell,,,,,,,,,,,,,,,,1,
1634,Then you have a letter form a vet?,T1Lake,,,,,,,,,,,,,,,,1,
1635,"I have just landed, and bought WiFi on the flight...and that barely worked. Any chance I can be reimbursed for this?",ShermanFabes,,,,,,,1,,1,,,,,,1,,
1636,Unbelievable @AmericanAir so my flight is at 11:49 and I’m standing at the gate to find out there is no crew! But don’t worry they’ll be here at 1:55pm?? I just switched from delta to you guys! Cmon..... I’m not happy,Jonnyeb777Best,,,1,,,,,,,,1,,,1,,,
1637,Call @BarstoolBigCat Rich!,marcosa1982,,,,,,,,,,,,,,,,1,
1638,"@SouthwestAir can I please get a call back from customer service? I was in the queue for 20 minutes, the call back rang 1x then hung up. Now another 30 minute wait.",jrbrowntx,,,,,,1,,,1,,,,,,1,,
1639,@Americanair My wife accidentally left her laptop behind after deplaning in PHL. She immediately notified ur team was told the plane would be swept and it would be taken to lost and found. 48 hrs later .... crickets Not Right,getjimpalmer,,,,,,1,,,,,1,,,,1,,
1640,Safe travels #SeeYouSoon,kandi1731,,,,,,,,,,,,,,,,1,
1641,Delta. @Delta How long do you all work to fix an issue with a plane before replacing it? Asking for a friend waiting in an airport.,Gregbagby,,,1,,,,,,1,,,,,,1,,
1642,"To the credit of @AmericanAir I will say that at least we’re waiting in the terminal and not stuck on the plane. Would still like to know what part was missing, though.",slcboston,,,1,,,,,,1,,,,,,1,,
1643,"To clarify, @United operates the 737MAX 9. The recent planes in question that crashed were #737MAX 8 model, used by @SouthwestAir and @AmericanAir",SeanPHanrahan,,,,,,,,,,,,,,,,1,
1644,"Can't we just have a little fun in this world any more?? Seriously people, LIGHTEN UP! @Delta and @DietCoke thought these flirtatious napkins were clever. But that idea fizzled. @CNNhttps://cnn.it/2t9J1Aj",DuckMusings,,,,,,,,,,,,,,,,1,
1645,It is OK now,Tomas40916602,🙂,,,,,,,,,,,,,,,1,
1646,This country has lost its sense of humor...... Too bad people get offended so easily.,embic,,,,,,,,,,,,,,,,1,
1647,Southwest Air Actually Flew This Bridesmaid’s Dress To Her After She Forgot To Pack It http://ow.ly/HHBF30o3L0L love this story by @SouthwestAir - they never fail to disappoint. #CustServ #CustExp #CX,jennysuedempsey,,,,,,1,,,,1,,,1,,,,
1648,@SouthwestAir you should add state college airport so i never have to fly american EVER again pic.twitter.com/tCdr3cZkj7,Ian68981363,,,,,,,,,,,,,,,,1,general
1649,Shared twice already,cbr529,,,,,,,,,,,,,,,,1,no context
1650,Hey @Delta . Your staff going from MSP to Sioux Falls on the 2421 did a great job accommodating a #nursingmom. They made it a point to provide me ice and own row of the plane to pump and store privately. Give those workers props.,Laurebear1990,,,,,,,1,,,1,,,1,,,,
1651,Fair. That's what Alaska Airlines is for.,DanielStrauss4,,,,,,,,,,,,,,,,1,
1652,Feel really bad for the folks who sat near that mess. Ewwww,lukekn,,,,,,,,,,,,,,,,1,no context
1653,"@SouthwestAir going from BDL to SAN is a long way to go without WiFi - 2 for 2 flights without WiFi in the last four weeks. On a positive note, the plane was nice and new it’s just unfortunate the technology didn’t work for your customers.",kennedyb44,,,,,,,1,,,,,1,,,1,,
1654,"@AmericanAir Unbelievable fail today. Late planes, broken equipment, upgrades canceled, offered no solution to a 1.8M miler. Except good luck. Will move you to tonorrow",ronlickteig,,,,,,,,,,,,,,,,1,multiple labels
1655,@monakazimshah @bbcespana @BBCNews @AmericanAir @Iberia_en I just got assaulted by a racist on a flight from Malaga to Madrid flt#IB 8827 & your crew stopped me from recording the incident. What’s your policy? They gave Madrid police no info.,AttorneyShayan,,,,,,,,,,,,,,,,1,
1656,Thanks for the inconvenience and poor service @PHX,OKSalesDirector,,,,,,1,,,,,1,,,1,,,
1657,That’s a fantastic price!!,sam_marques1,,,,,,,,,,,,,,,,1,no context
1658,@SouthwestAir what is the email address for customer service? It continues to use the mobile app which does not have the email link.,vjackson8000,,,,,,1,,,1,,,,,,1,,
1659,"@Delta had to cancel/reschedule 3 flights in the last two weeks, and the DIamond desk was extremely helpful and patient.",Ktfantastico,👍🏼 👍🏼,,,,,1,,,,1,,,1,,,,
1660,"Members, this Friday at the KayCee we welcome Dave Harvey, VP - Corporate Sales for @SouthwestAir to talk about the life and legacy of Herb Kelleher, recent events involving Southwest, and what travelers can look forward to in the future. pic.twitter.com/kKBwjQM1wg",ExchangeClubLH,,,,,,,,,,,,,,,,1,
1661,It must be found!pic.twitter.com/kzqOj8CskV,Swan16D,,,,,,,,,,,,,,,,1,no context
1662,@SouthwestAir When will you suspend your 737 Max8’s ? I’m close to cancelling my trip to Arizona.,KisongM,,,,,,,,,,,,,,,,1,safety
1663,At least the flight crew will walk it off looking for somewhere cheap to eat and drink,Dallasmcintosh,,,,,,,,,,,,,,,,1,no context
1664,"Well not 14, it was 10 and not all Bretts fault but a lot on Brett",BrandedRu,,,,,,,,,,,,,,,,1,random
1665,"wtf?! @united gave me a free hotel and meal voucher when the weather stranded me in ohare once. that’s some cheap shit, @AmericanAir",mvsebastian,,,1,,,,,,,,1,,,1,,,
1666,brilliant!,BigReg64,,,,,,,,,,,,,,,,1,
1667,@ksdknews @chesterlampkin @JessicaKSDK @KMOV @KentEhrhardt @FOX2now @zimmtv @fox2ch Please join on the bandwagon getting our airlines to do the right thing. @AmericanAir https://twitter.com/foxoverhill/status/1101590467198763009 …,foxoverhill,,,,,,,,,,,,,,,,1,no context
1668,@AmericanAir PHOENIX to MKE pic.twitter.com/2hNOp8m1cq – at General Mitchell International Airport (MKE),psaabart1,,,,,,,,,,,,,,,,1,
1669,Looks like bees flying into the hive.,suetay45,,,,,,,,,,,,,,,,1,
1670,Once again @Delta deserves a trophy. There is no way I would have made my tight connection without them sending an alert on where to go to catch the terminal bus at LAX. #fivegoldblums #skymileslife,kimikimkim,,,,,,1,,,,1,,,1,,,,
1671,"@Delta flight 18 from Detroit to London now cancelled, how do I make my €600 compensation claim according to EU rules",jesbreslaw,,,1,,,,,,1,,,,,,1,,
1672,Any response from @Delta ?,Sue3805m,,,,,,,,,,,,,,,,1,no context
1673,Imagine if this is your last tweet.,MichaelKFenwick,,,,,,,,,,,,,,,,1,
1674,"Seriously Delta?! @Delta @deltaairlines @deltaairline I travel every week because I’m a consultant, it is crazy how your aircraft to Houston are always very bad in terms of cleaning and quality. I’m a Delta fan and I always work to build my status with you, but I am unhappy nowpic.twitter.com/byCDFkelU7",HammondAlePat,,,,,,,1,,,,1,,,1,,,
1675,Thank you for your responsiveness @SouthwestAir and for making it right! Now that’s the customer service I hoped for!,LSchedler,,,,,,1,,,,1,,,1,,,,
1676,Young Cruella and beta Jesus,RichGilbertson,,,,,,,,,,,,,,,,1,
1677,"@Delta thanks for the free breakfast at LGA. Mazel on your new plane, wish I was going to Dallas. Thanks for the upgrade and the smiles.",CarlyBergstein,,,,,,1,,,,1,,,1,,,,
1678,I'm away to book Ryanair instead. Do you think they'll know the difference?,2IceCreamsBrown,,,,,,,,,,,,,,,,1,
1679,At #MSY @NO_Airport flying to #BDL @Bradley_Airport @Delta – at Louis Armstrong New Orleans International Airport (MSY),saab007,⚜️ ✈️,,,,,,,,,,,,,,,1,
1680,"In my experience, @AmericanAir always says that they are listening and maybe you are, but nothing changes. I have been complaining about the lack of attention to the SAN market for years. Flying to JFK on @Delta on Tuesday. Am Platinum on @Delta mainly because of JFK flights.",DocJasna,,,,,,,,,,,,,,,,1,general
1681,Yes about an hour and half on the phone in all to eventually be told I’d need to pay £1200. Which I completely didn’t. @british_airways sorted it in seconds.,chrispople,,,,,,,,,,,,,,,,1,
1682,@Delta I heard Delta had issues bit I figured it was some making a mountain out of an isolated experience. How wring I was. Delta is the worst airline I have flown with.,christrictor,,,,,,,,,,,,,,,,1,general
1683,"Bad start, bad finish but oh so good in between",BernieDavies,,,,,,,,,,,,,,,,1,
1684,Hi @AirAsiaSupport can i bring powerbank in my hand luggage? Or do i need to keep it in my check-in bag?,safwansyahir,,1,,,,,,,1,,,,,,1,,
1685,Did the same to me at LAX in January. Only realized they had changed the gate when they called for boarding at the gate I was at and it wasn't to where I was going. Lucky I noticed before my flight left.,sherrisloat,,,,,,,,,,,,,,,,1,boarding
1686,"@Delta On March 14,2019, flight Dl2334 Miami to New York seat 3D was the worst flight on my life. I was threaten by a flight attendant, and after asking for the manager more then 5 times, the flight attendant finally informated me that she was the manager.",durrell_parrish,,,,,,,1,,,,1,,,1,,,
1687,Can we talk by DM?,ludsonfarah,,,,,,,,,,,,,,,,1,
1688,They got a tall order against Trump's Pats. Prediction: Pats 31 Rams 24,JohnMimeault,,,,,,,,,,,,,,,,1,
1689,"I know that town halls aren’t your style (I guess since you aren’t knowledgeable enough to answer real-time questions?) but sure would be sweet to see you try and handle one before we vote you out in 2020, toady. #gapol",Mixt_up,,,,,,,,,,,,,,,,1,
1690,"@Delta Part 2: my flight from ATL to ELP is delayed 5 MORE HOURS until 7am. Supposed to leave at 7pm the prior day! Mechanical failure and pilot timed out! Business trip ruined, and I’m paying for a hotel in El Paso while I sleep in the ATL airport. MAKE THIS RIGHT",patrickjblakely,,,1,,,,,,,,1,,,1,,,
1691,"Thanks, Linda. I'm a bit picky #custserv",MarshaCollier,,,,,,,,,,,,,,,,1,
1692,Omg! This is terrifying! I’m glad you’re safe.,KaylynBuckley,,,,,,,,,,,,,,,,1,
1693,@AmericanAir hi - what's the checked baggage allowance for an infant in lap on an international (connecting in Europe) flight? Thanks!,jaeldius,,1,,,,,,,1,,,,,,1,,
1694,they came in the mail today! #Shecarrieson #medallionlifepic.twitter.com/jRcy3kfe74,CourtneyLTeague,,,,,,,,,,,,,,,,1,
1695,"For professional skilled #pilots , lovely to do",erwin_hattingh,,,,,,,,,,,,,,,,1,
1696,@delta ONE preferred seating is too crowded with very little leg space and I am a towering 5'3,gesquivel4040,,,,,,,,1,,,1,,,1,,,
1697,Np!! Going to do #Periscope LIVE soon now with singer @shaigabe ..it's his regular #MondayMotivation #music gig...do tune in!! #capetown #travel #milestonemonday #southafrica #letsguide #OnGoogleMaps pic.twitter.com/ivQL6yHUqE,jamescapetown,,,,,,,,,,,,,,,,1,
1698,@SouthwestAir if I’m flying a Southwest it’s another late flight. Come on get your act together!!!,whcanet,,,1,,,,,,,,1,,,1,,,
1699,@British_Airways epic #fail on flight BA0417 with crew not letting people bring carry-on because of inability to pack overhead lockers with any common sense #lateflight,jj_pritchard,,,1,,,,,,,,1,,,1,,,
1700,I’m sitting right in front of Amy on the bus!,WolvesforKamala,,,,,,,,,,,,,,,,1,
1701,Congratulations @British_Airways on your #BA100 . Its nice to bring back the #BOAC legacy back to the skys. A brilliant coat applied well done to the team at @DublinAirport,vchivheya,,,,,,,,,,,,,,,,1,
1702,*news* @British_Airways to increase its @manairport to Gothenburg via Cambridge flights. (A route very few people know exists) https:// airportrumours.blogspot.com/2019/01/britis h-airways-increases.html … #flights #manchester #cambridge #gothenburg,airportnewsMAN,,,,,,,,,,,,,,,,1,
1703,"They advertise morning 6 am flights, but after a few months I buy my ticket they cancel all morning flights and reschedule them later in the day. complete messing with hotel plans I have. completely dishonest tactic to get poeple to buy a ticket, it is repeating now!",Bluehasia,,,,1,,,,,,,1,,,1,,,
1704,". @Delta are you aware that @lenovo batteries are very dangerous? My Yoga 720 is just over a year old and when it got hot, the keyboard started to bow, forced to open it to see the battery was ready to explode. I had to bag it and put it in the freezer.pic.twitter.com/fvlPKx2zXW",Sheeple101,,,,,,,,,,,,,,,,1,
1705,Please list all flights on Max 8 planes. I urge you to follow other countries and GROUND these planes until their safety is confirmed.,townsb1700,,,,,,,,,,,,,,,,1,safety
1706,Will this ride expense be tacked onto the voucher? No reason why it shouldn’t be.pic.twitter.com/JFZnlHqcJn,emilykennard,,,,,,,,,,,,,,,,1,
1707,Sorry this happened to you. It's why I ride Greyhound. Xo,Cristasphoto,,,,,,,,,,,,,,,,1,
1708,Good on you guys,ppaul3,,,,,,,,,,,,,,,,1,
1709,Both @AmericanAir and @lufthansa responded to my tweets very quickly. Excellent customer service. Thanks!,1337wine,,,,,,1,,,,1,,,1,,,,
1710,Oh gee...Looky what the AIRLINE INDUSTRY calls it...https://thegate.boardingarea.com/peanut-allergy-policies-of-airlines-an-updated-comprehensive-list-2018/ …,skydash,,,,,,,,,,,,,,,,1,
1711,....were “few”?!!!!... are you serious??!...would you want to be on one of those “few” flights ?!!!?...no thank you! @SouthwestAir #Hawaii,islandbacio,❤️ 👏🏻 👸🏼 💋,,,,,,,,,,,,,,,1,
1712,Has Olivia Colman seen them?,mrkernow,,,,,,,,,,,,,,,,1,
1713,"A delay program? Like a program that makes sure a lot of flights are delayed? What does that mean? Btw, thank you for answering",andimmintyfresh,,,,,,,,,,,,,,,,1,
1714,". @SouthwestAir is any day now about to get certification to start flying to Hawaii, and so a lot of the airlines that already do fly to Hawaii--United, Delta, Alaska--are really trying to drop their fares to try to get as much market share as they can before Southwest begins... https://twitter.com/acherry13/status/1085572402610872320 …",scottsflights,,,,,,,,,,,,,,,,1,
1715,"I have to say this is why I always book flights and #hotel with @British_Airways . Clause 4.1 in your terms and conditions (you know, the bits you lied and said you had read!). I can only imagine the anguish of those stranded or who have lost holidays, or even jobs. https:// twitter.com/UK_CAA/status/ 1096850073101783043 …",hines_stephen,,,,,,,,,,,,,,,,1,
1716,when @AmericanAir grounds the 737 max 8 (which they will today or tomorrow) they will not refund all passenger's changing fees to get out of one. Worst airline in the sky! #boycottamericanairlines,epatterson666,,,,1,,,,,,,1,,,1,,,
1717,Good!!!! @americanair is THE FUCKING WORST!!!!! #worstairlinepic.twitter.com/uTMiqi8iMM,djjalan,,,,,,,,,,,,,,,,1,no context
1718,@AmericanAir #AATeam Really? Did you read my messages? What about the time at the airport? The embarrassment of being denied boarding? The anxiety of not having a ticket back home? 2 hours wait on the phone or the rudeness of the supervisors ? That is my problem.,AnalygiaPontes,,,,,,1,,,,,1,,,1,,,
1719,@AmericanAir do you typically put bags into planes by standing on them? Not gonna get much use out of my new three wheeled bag. Pretty unacceptable. pic.twitter.com/HEhzGHfcul,JacobLyday,,,,,,,,,,,,,,,,1,
1720,@British_Airways trying to book the £100 flights for New York but the site keeps crashing then telling me to retry !,Ruddi24,,,,1,,,,,,,,1,,,1,,
1721,"Not if my flight is any indication... don’t believe them, Stephen. I’m currently on wait hour 3.5 hours... with a plane at the gate for over an hour.",ChipSerrelli,,,,,,,,,,,,,,,,1,to others
1722,I would have appreciated a warmer reception when I went to the counter to rebook. Why is a Southwest mgr robotically repeating “due to the weather we are not responsible...”? I understand the weather. I don’t understand the lack of human connection and warmth.,TamaraMWilson,,,,,,1,,,,,1,,,1,,,
1723,"Just here to see if anyone is offended by your militant bashing of airlines. You know, the really important type of twitter hate crime that merits attention. Brb, gonna take a selfie to capture my outrage.",TakeUrVitamins,,,,,,,,,,,,,,,,1,
1724,Super beautiful hotel right on the Indian Ocean @oysterbox service beyond ;decor in majolica stone whitewash;and glorious flora miles of beachside paths;now @British_Airways lands direct from London pic.twitter.com/sRX8LxHNi7,liketravelalot,,,,,,,,,,,,,,,,1,
1725,"“Ladies and gentlemen, we have a current situation on the plane. If you could return to your seats please and stop the deplaning process.” @Delta Also, y’all’s new flight safety video cartoon is hella whack. pic.twitter.com/h75JZziqU9",_zmill,,,,,,,,,,,,,,,,1,
1726,So it's been over 48 hrs and no word on the location of my luggage yet alone when I'll be getting it!!! #thisreallysucks,evensongolf,,1,,,,,,,,,1,,,1,,,
1727,"Hi! I know/appreciate that there isn’t an additional fee! My question is about the refund itself, though! If I cancel, how am I refunded: points or credit? Or if I change the flight and my new flight is cheaper: am I refunded the difference? Thanks for your help on this!",nataliebee,,,,1,,,,,1,,,,,,1,,
1728,Glad I woke up at 4am only to have my flight delayed because a flight attendant didn’t show up @SouthwestAir @BarstoolBigCat,butch112242,,,1,,,,,,,,1,,,,1,,
1729,@AmericanAir who can give an update on flight AA 2968? No one at this airport has a clue what’s going on and we now have had our 4th 2 hour delay. Simple transperancy would be appreciated.,ceebenn,,,1,,,,,,1,,,,,,1,,
1730,LMFAOOOO THE APOLOGY,tranellbrown,,,,,,,,,,,,,,,,1,no context
1731,Our team is getting ready for another very full course @manairport tomorrow We look forward to seeing you and helping you Fly With Confidence This photos shows 2 happy course participants after our last #Manchester course #BritishAirways #BA100 #FearOfFlying @British_Airways pic.twitter.com/waDT9Lm79q,FlyInConfidence,,,,,,,,,,,,,,,,1,
1732,Who’s the slim fella behind JC ?,PaulTaroni,,,,,,,,,,,,,,,,1,
1733,Why weee you that high up displaying ?,Dlnorton150879,,,,,,,,,,,,,,,,1,
1734,"they won’t turn it around. it’s your culture. We aren’t valued customers, we are suckers that keep flying because there aren’t choices. This weekend on “first/business” no internet, headphones, pillows, movies, nuts, sparkling wine, amenity bag, food basically trash Bad attitudepic.twitter.com/QbFLo5bpCi",bisoneaux,,,,,,,1,,,,1,,,1,,,
1735,That control tower in the background probably helped a little too.,chuckkueper,,,,,,,,,,,,,,,,1,
1736,@Delta how do you feel about upgrading a veteran and his wife to 1st class for their one year anniversary in April?,BradleyShackle3,😬 🛩 🛫 🛬,,,1,,,,,1,,,,,,1,,
1737,"Signed up for a @SouthwestAir rewards card prior to booking a fight because I was offered a $200 statement credit. After the app didn’t let me book my flight, my new card has disappeared from my account.",ZacheryTolle,,,,,,,,,,,,,,,,1,
1738,LAX-MSP???,Burruel_,,,,,,,,,,,,,,,,1,
1739,Can I get an email or anyting,dallasvip1,,,,,,,,,,,,,,,,1,
1740,I was flying as a minor by myself. My flight out of PDX was 2 hrs late so I missed my layover in PHX. They offered to take me to a hotel (uncomplimented) or wait in the airport for 11 hours for the next flight to CLT. I waited in the airport. Wasn’t even offered food vouchers.,karakbeu,,,1,,,,,,,,1,,,1,,,
1741,". @MayorPetty on the reduction of @AmericanAir service ""it was a surprise... this just came out of the blue, I read it in the paper. Caught everybody off guard. This could be a wake-up for us to start advertising [the Airport]"". Mentions we could see an advertising campaign soon.",CommonTalkPod,,,,,,,,,,,,,,,,1,
1742,*butt. I shoulda just stuck with ass.,ExecMoonbeam,,,,,,,,,,,,,,,,1,
1743,yes of course. Also did you help me...the pass just appeared online :) thank you !,joshuarshultz,,,,,,,,,,,,,,,,1,
1744,Spent the last two and a half hours in a plane.... on the ground! Not fun! But @Delta staff here on the plane is great #DTW #Delta #flyingDelta – at Detroit Metropolitan Wayne County Airport (DTW),THEDARKICARUS,👍,,,,,,,,,,,,,,,1,conflicting
1745,You might want to single out @SouthwestAir & @AmericanAir as they are the only two airlines who fly them in the United States.,dolfer,,,,,,,,,,,,,,,,1,
1746,Love this! Safe travels!,TurtleDove58,❤️,,,,,,,,,,,,,,,1,
1747,@Delta need to change my fight on Saturday due to weather waiver in Seattle,redstormstocks,,,,1,,,,,1,,,,,,1,,
1748,severe turbulence,PrestonTVNews,,,,,,,,,,,,,,,,1,
1749,Thank you! Planning our next trip now!,LolaLambchops,,,,,,,,,,,,,,,,1,
1750,I feel like I got the better deal! Sorry husband! But I like our cute matchy mail... ;) #frequentflyer @Delta pic.twitter.com/o6NYj9zpVB,nicolecare406,,,,,,,,,,,,,,,,1,
1751,@SouthwestAir I am hoping I missed the statement that theses we no longer grounded???? pic.twitter.com/dNG2UBapVO,jfontana55,,,,,,,,,,,,,,,,1,
1752,"And the #737MAX8 is grounded. https://www.usatoday.com/story/news/politics/2019/03/13/donald-trump-says-he-signed-order-ground-boeing-737-max-8/3152157002/ …. Meanwhile, I'm out $1500 because @AmericanAir doesn't care about its customers and I had to rebook on another airline.",gamelawyer,,,,,,1,,,,,1,,,1,,,
1753,Just boarded DL1800 LAS to NYC. Seat tray COVERED in filth! Looks like someone vomited on it! Come on @Delta! I pay enough for my ticket. Clean your damn plane! Gross!,lolsonrdh,,,,,,,,1,,,1,,,1,,,
1754,Hey @AmericanAir you’re hub is in Philadelphia! Hearing flights are delayed due to staffing issues ! Can you confirm for me! Hearing conflicting information,emrey35,,,1,,,,,,1,,,,,,1,,
1755,"Well I know all the pilots on the #A380 for @British_Airways so I don’t worry about them looking after the aircraft. And the training is second to none. At the end of a long flight it is satisfying if you know the whole team has done a good job, passengers happy, and a bar close!",DaveWallsworth,,,,,,,1,,,1,,,1,,,,
1756,Today I am reminded why I never fly @AmericanAir. Worst customer service in the industry. Freaking ridiculous.,Kelseyjmann,,,,,,1,,,,,1,,,1,,,
1757,"Kindly acknowledge. And once done, send the itinerary to my email. Thanks!",ranny_22,,,,1,,,,,1,,,,,,1,,
1758,"Getting home on time almost every time: flying in planes bigger than a minivan: not having to fly through awful @CLTAirport: getting status match on @delta: converting from AA card to Delta card: thank you @delta, suck it @AmericanAir",prisonmike1221,✔️ ✔️ ✔️ ✔️ ✔️,,,,,,,,,,,,,,,1,conflicting
1759,"@AmericanAir As a passenger on an upcoming April flight on the Boeing 737 MAX 8 leaving Miami, I am quite concerned & considering cancelling/transferring my flight. TAKE THESE PLANES OUT OF THE AIR!!! Please retweet!!!",DeborahG17,,,,,,,,,,,,,,,,1,safety
1760,"Hi, I can DM you if your are not following me...",qikviq,,,,,,,,,,,,,,,,1,
1761,"A lot of @Delta responses since this tweet, but nothing for this gentleman? I understand not responding in the open when possible legal action may occur. I will be watching, as many others, and if @Delta does not make this right when it needs to be, they have lost my business https://twitter.com/KhaledBeydoun/status/1094733106265968640 …",NomentionofKev,,,,,,,,,,,,,,,,1,
1762,Thanks for the heads up! Hope you get where you're going safely if not in a timely manner.,awlasky,,,,,,,,,,,,,,,,1,
