,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
847,"True. I just requested an alternate flight (non-stop/connecting) in any airline, they are refusing that too. Sadly no care for customers.",akash8844,,,,,,1,,,,,1,,,1,,,
848,Nice job! You knew. Hundreds of pilots now. Flight attendants know. But American Airlines had to be forced by our amazing president to ground the planes?,TammyParry,,,,,,,,,,,,,,,,1,general
849,Wonder Earth,lizzdoc,,,,,,,,,,,,,,,,1,random
850,@British_Airways @VirginAtlantic @KLM @SingaporeAir @emirates @QuatarAirways @cathaypacific @EtihadAirways @Qantas @AirCanada @Delta @united @AmericanAir Can you please start taking climate change seriously. At the moment your business is destroying the viability of our planet. https://twitter.com/Peters_Glen/status/1095261041985052672 …,APMather,,,,,,,,,,,,,,,,1,random
851,It’s these types of inconsistencies I experience repeatedly that make my travel experiences frustrating!,simpson_darrell,,,,,,,,,,,,,,,,1,no context
852,As long as you report it within 24 hours you good.,BenSack09,,,,,,,,,,,,,,,,1,no context
853,"@AmericanAir 2 flights today MCO-DFW-PSP 2 sweat lodges...WTH??? First was a crappy old @USAirways plane and now is a reconfigured #737800; service is subpart, performance is shaky...ugh. so much for #EXP @aadvantage",jzct,,,,,,,1,,,,1,,,1,,,
854,What about TransFAREncy? @SouthwestAir pic.twitter.com/yy4HzgOCM3,CoryMckane,,,,,,,,,,,,,,,,1,no context
855,Bill did you ever get into the Witcher,wizzwit,,,,,,,,,,,,,,,,1,no context
856,On our way to #nashville to see ya!,jayharrus,,,,,,,,,,,,,,,,1,no context
857,When @Delta upgrades you to first class and you try to blend in with the usuals pic.twitter.com/4xa2T9kN5z,shannonduer42,,,,,,,,,,,,,,,,1,random
858,They said they don’t have vouchers.,RadioRose,,,,,,,,,,,,,,,,1,no context
859,INBOX: New @SouthwestAir flight from @FlyLouisville to Dallas Love. The flight was announced last June.pic.twitter.com/jxJRLiS2mZ,CaitlinBowling,,,,,,,,,,,,,,,,1,random
860,"Right. They should behave. It’s kinda tricky because Emotional Support Animals do not require special training, unlike certified Service Dogs. But you need an official ESA letter from a therapist.",OvaryExcited,,,,,,,,,,,,,,,,1,random
861,My uncle used to work on boats. He worked on the big ships before going to cross channel ferries from Dover to Calais. He worked on the pride of bruges. He gave up work when his kidneys failed xx,numptyonloose,,,,,,,,,,,,,,,,1,random
862,"Thank you, all went okay in the end and we made it! Thanks for the great customer service and after-care as usual. The cabin crew were amazing as well. There’s a reason I’m always loyal to BA no matter what;)",SamanShirazi4,,,,,,1,,,,1,,,1,,,,
863,"Need to put a red foam nose on, to complete the look.",Lex_Barringer,,,,,,,,,,,,,,,,1,random
864,@SouthwestAir how do I find out what type of plane I'm on for a booked flight? Will not board a 737max until the cause of recent crashes are determined.,garys191,,,,1,,,,,1,,,,,,1,,
865,@SouthwestAir If you refare a trip would you lose your Early Bird? A route I'm flying in a few weeks went down in points...,dakdillon,,,,1,,,,,1,,,,,,1,,
866,"It was, therefore I asked if you are a Trump fan. An obviously faulted airplane that was grounded by the whole world apart of the US & Canada. The FAA was at the forefront of airplane safety in the past, now they take a back seat. Not only Boeing will suffer, they as well.",mooksberlin,,,,,,,,,,,,,,,,1,safety
867,"Guess it's been a while since I flew a long domestic flight. Dang @Delta now you charge for those cheap earbuds to enjoy the in-flight entertainment? Give me Emirates, Bangkok Air, etc any day. No value here at all.",Jebspinder,,,,,,,1,,,,1,,,1,,,
868,@Delta so sad that a major carrier can’t honestly tell you when your flight will actually depart. Flight 3896. Just tell me when to show up and that’s ok. But to keep changing the story every 30 minutes is not the way to conduct business. Very frustrating.,p_borchers,,,1,,,,,,,,1,,,1,,,
869,"@Delta consistantly proves to me why they are the absolute best airline, time & time again! I arrived earlier through customs than anticipated, called Delta, & now I'm on an earlier flight home to see my husband on our 1yr Wedding Anniversary- THANK YOU @Delta !!!!♡♡♡",BrandyMi,,,,,,1,,,,1,,,1,,,,
870,"@SouthwestAir I’m currently on flight 869 from Austin, TX to Boston, MA and the man sitting next to me is sticking his bare foot into my personal space. This is nasty af. Can you please help/advise? Best, Bryant pic.twitter.com/Z2w5ib2Moz",bryantfwang,,,,,,,,,,,,,,,,1,random
871,3hrs on this airplane. Still on the ground. @Delta c’mon.,joeflateau,,,1,,,,,,,,1,,,1,,,
872,@DFWAirport I totally agree. But it was very cool to look outside and see what was there then match it to the screen and know what I was looking at! Totally awesome technology @AmericanAir,raynaglasser,👏🏽,,,,,,,,,,,,,,,1,to others
873,"Sadly, it was a short flight: LAX to OAK. But the crazy weather in LA meant we got to spend extra time waiting for the weather to pass to take off. The one time I was happy with a weather delay.",benkiker,😉,,,,,,,,,,,,,,,1,random
874,@AmericanAir I am enroute from PHX to PHL on AAL655. Will my flight land in PHL it will it be diverted?,airbusguy2000,,,,1,,,,,1,,,,,,1,,
875,47 minutes on hold was worth the wait. All my questions were answered and flight booked for next week! I appreciate the response; this is part of the reason we do not fly with anyone else :) #luv #iflyswa,TNVetManager,,,,,,1,,,,1,,,1,,,,
876,Is there any way of going in advance? We have a rugby match at 21.00 tomorrow.,ElJGales,,,,,,,,,,,,,,,,1,no context
877,just pick up a life threatening peanut allergy and you can preboard almost any flight,jblesp,🙃,,,,,,,,,,,,,,,1,random
878,Nice pic of her lining up for departure RW28 Dublin pic.twitter.com/8TdFfFqfyC,tedgunning,,,,,,,,,,,,,,,,1,random
879,@SouthwestAir more like #Southworst,JustChad3,,,,,,,,,,,1,,,1,,1,no context
880,I don’t fly American much but fly @SouthwestAir often. Won’t be flying either until the @Boeing #737MAX8 is grounded and these incidents are thoroughly investigated.,mercury613,,,,,,,,,,,,,,,,1,safety
881,@Delta yeah....the one time comfort guys ahead of loyal medallion members?! That was a mistake,davidgulrich,,,,,,,,,,,,,,,,1,random
882,"yes, I tried just now but the issue remains... I tried to sign up on Edge and Explorer as well",lautedeschi,,,,,,,,,,,,,,,,1,no context
883,Travel alert from @AmericanAir https://www.aa.com/i18n/travel-info/travel-alerts.jsp?anchorLocation=DirectURL&title=travelalerts …,NY1weather,,,,,,,,,,,,,,,,1,safety
884,"@AmericanAir my original flight left at 12:45. Original arrival, 4:10. It’s now 6:36 and haven’t even left CLT. CHS - PBI. I hope you all will take this serious.",susieyouragent,,,1,,,,,,,,1,,,1,,,
885,"I don't need apologies, I need a way home. Got thru after 3° and they don't have a flight for me for 2 days. Need hotel, rental car, monorail something??",kriselliottcu,,,,1,,,,,,,1,,,1,,,
886,They're allowing passengers to change flights but haven't grounded,jurai,,,,,,,,,,,,,,,,1,no context
887,27D for me today. Clear aisle. Textbook landing. pic.twitter.com/keSzNU3ShX,ennobledinsect,,,,,,,,,,,,,,,,1,random
888,"On the other hand, the airlines could just make the seats a little bigger. Seats in airplanes are ridiculously small.",SeyboldGene,,,,,,,,1,,,1,,,1,,,
889,@Delta Y'all got some splainin to do. pic.twitter.com/4xlNC4qEJ5,SandraBridges1,,,,,,,,,,,,,,,,1,no context
890,That looks to me like a proper dry martini - one where Noel Coward said that you filled a chilled glass with a large measure of good chilled gin and wave it in the general direction of Italy. Enjoy !,Ngoffy,,,,,,,,,,,,,,,,1,random
891,Just like my pa28,icompli,,,,,,,,,,,,,,,,1,random
892,@AmericanAir you gave away all of our seats on our flight to HOA. And then let us grab whatever seats were open.,Jimmy_to_the_B,,,,,,,,,,,,,,,,1,no context
893,"I'm pretty sure - we have to sell all other operators tickets, as do other operators. We operate trains out of London Euston, we have no services whatsoever to or out of Kings Cross ^MB",VirginTrains,,,,,,,,,,,,,,,,1,no context
894,Have a safe and fun vacation. Be careful and aware of your surroundings.,1oregonsteeler,😉,,,,,,,,,,,,,,,1,random
895,Yes! DM your shipping info! Congrats!,MavProject16,,,,,,,,,,,,,,,,1,random
896,What time did you make it to LA? We are now in Cabo San Lucas,MyyMini,🕶 🐳 ⛱,,,,,,,,,,,,,,,1,random
897,"Alan, i was affected by the flight going technical last night. Latest info is that they’re putting on a special flight for us at 21:40. Sorry you had a rough time and that BA is being so inept.",Br3ntonA,,,1,,,,,,,,1,,,1,,,
898,@British_Airways Horrendous service!!! Still no acknowledgement from my complaint from before Xmas!!! It is unbelievable how many people are of the same opinion of BA! Shit!!!,Chuck_Mck,,,,,,1,,,,,1,,,1,,,
899,With some nice cool ranch @Doritos to round out my complete breakfast,CR_827,,,,,,,,,,,,,,,,1,random
900,I have a friend who is a 737 pilot (all versions). He told me yesterday that the plane is probably safe but he would try not to fly them where possible.,doctagee,,,,,,,,,,,,,,,,1,safety
