,No,text,username,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,emoji
12,12,I feel your pain. I am flying direct to Amsterdam rather than Brussels since there were no direct flights. I rather take a one hour train after landing than having to stop somewhere for hours after a 10+ flight.,_rickgonzalez,,1.0,,,,,,,,1.0,,,1.0,,
13,13,I’m so looking forward to seeing this livery take to the Skye’s again I remember coming to LHR are little boy having lunch on the Roof & spending the day with my mum & Dad watching planes all day i have a photo of me with a line of Tridents with BEA with a BOAC 747 passing by,Sirtaggy,,,,,,,,,,,,,,,
14,14,Now realizing I’m 10 hours too late.,emdasspooky,,,,,,,,,,,,,,,
15,15,So I’m up at 5:30 am because my @SouthwestAir app says there’s a flight open tonight. But website says sold out. Friendly woman who answered phone said I could fly on @AmericanAir so yay! But forgot to mention til end it was $550. Maybe lead with that? #BOEING737MAX8,dawnmcmullan,,,1.0,,,,,,1.0,,,1.0,,,
16,16,New conspiracy theories?????,IDEK58054400,,,,,,,,,,,,,,,
17,17,"@SouthwestAir so say I apply and get the card in 2 weeks.. starting then, I have to spend 4k in 3 months AND THEN companion pass is activated? So it's really only may thru dec I could use the pass?",anniegry,,,,1.0,,,,1.0,,,,,,1.0,
18,18,Oh got I normally fly out of Btr,UchihaJoshua81,,,,,,,,,,,,,,,
19,19,"Thanks @British_Airways for keeping me on hold today for half an hour after asking me to call you about a booking, only to then tell me your CVV systems are down so I have to call back a 3rd time. Wouldn’t mind, but I gave you the info last week, and the flight’s paid for!",brookieboy,,,1.0,,,,,,,1.0,,,1.0,,
20,20,@AmericanAir are Fights out of Caracas departing with normal activities or are flight bang cancelled due to the blackout in the country ??,thejoker787,,1.0,,,,,,1.0,,,,,,1.0,
21,21,I once ran through the Philadelphia terminal to return my seat mate’s iPhone. He was very thankful and I was able to skip going to the gym later on,_jenny_tweets,,,,,,,,,,,,,,,😏 😆
22,22,Hey @Delta I’m in Vegas trying to get home to Seattle and we were supposed to start boarding 17 minutes ago and yet we are “waiting for crew?” Is this normal for you? I usually fly Alaska.,therealmarkb,,1.0,,,,,,,,1.0,,,1.0,,😡
23,23,@Delta hold my beer....,PointBlankMo,,,,,,,,,,,,,,,
24,24,"Good luck, Colleen! @delta better get its shit together; not a good look.",fleaflicker44,,,,,,,,,,,,,,,
25,25,Secret transport? Or airline lingo for overweight pax after Christmas ?,mans1852,,,,,,,,,,,,,,,
26,26,Safe travels to warm weather,monica_hagle68,,,,,,,,,,,,,,,😊
27,27,Late night flight back home on @Delta tonight but don't need to be there for hours. So much is closed in #SaltLakeCity on Sundays. Anyone else still in town?,GeneaVlogger,,,,,,,,,,,,,,,
28,28,@SouthwestAir Send this handsome devil to Hawaii for his 50th birthday! This boy loves SWA almost as much as he loves the Horns! #SouthwestLovesAustin #Sweepstakes #hookem #hawaii5-0pic.twitter.com/WrvTtDxhmn,bexhaden,,,,,1.0,,,1.0,,,,1.0,,,🤘🏼
29,29,Any progress or guidance on this?,djeppoli,,,,,,,,1.0,,,,,,1.0,
30,30,Except @KayBurley mentioned in @SkyNews she was a woman captain :-),LlanitoPal,,,,,,,,,,,,,,,
31,31,Which is why I fly @AmericanAir. Thank you.,EllenHopkinsLit,,,,,,,,,1.0,,,1.0,,,
32,32,"Thank you, everyone else at every airport has has been great!",j_presby,,,,,1.0,,,,1.0,,,1.0,,,
33,33,It’s not anything. It’s fish and nuts. So just those things... and Bethenny is not the only person with an allergy.,FutureH0usewife,,,,,,1.0,,,,1.0,,,1.0,,
34,34,Right'o https://www.google.com/search?q=jessica+chastain+miss+sloane+gif&tbm=isch&source=iu&ictx=1&fir=ddssExqmK1lpNM%253A%252CwNtr9j8bCE-deM%252C_&usg=AI4_-kR7Y-Ib9UJLo9WwE2LOpHzRUJhRzQ&sa=X&ved=2ahUKEwiRgfzD2bTgAhWRT98KHQW1CiQQ9QEwAXoECAAQBg#imgrc=ddssExqmK1lpNM …:,si_jacques,,,,,,,,,,,,,,,
35,35,"Waiting for the day when @delta says “we accept all competitor coupons.” Let’s just price match already, airline industry!",guadalahonky,,,1.0,,,,,,,,1.0,,,1.0,
36,36,@AmericanAir can you tell me why aa5204 is delayed? Thank you!,louisvilleliz,,1.0,,,,,,1.0,,,,,,1.0,
37,37,@SouthwestAir completely unacceptable to cancel flights out of midway UNTIL FRIDAY and offer zero compensation to those affected. Have had issues before but will never fly southwest again.,ESchoepfle,,1.0,,,,,,,,1.0,,,1.0,,
38,38,We arrived early. Ground crew with attitude . Arrived in Hanwell and looking forward to the weekend.,les_petrie,,,,,1.0,,,,,1.0,,,1.0,,
39,39,One of the biggest issues bigger bodies folks face is hostility when flying. @SouthwestAir offers a Customers of Size program where you can request a reserved boarding pass for early boarding at check in. This reduces the stress of flying so much! TY Southwest!!,FatGirlsOnTop,,,1.0,,,,,,1.0,,,1.0,,,
40,40,@BoeingAirplanes 737 Max 8 so y’all still flying these planes ... @AmericanAir and @SouthwestAir somehow still wants to put more travelers at risk after another plane has crashed killing everybody on board within 5months,bbrown2011,,,1.0,,,,,,,1.0,,,1.0,,
41,41,"If you flew @AmericanAir , it’s absolutely the worst at MIA.",plaground,,1.0,,,,,,,,1.0,,,1.0,,
42,42,@AmericanAir y’all really need a better support team. It shouldn’t take 15 minutes for me to get a response to an urgent matter when your website is down.,Grape_juice13,,,,,1.0,,,,,1.0,,,1.0,,
43,43,U go girl cooool.,gillian_call,,,,,,,,,,,,,,,
44,44,. @AmericanAir how can you treat someone this way? #CysticFibrosis . I’m so sorry to hear that @emilykg1,DoubleTrojan,,,,,,,,,,1.0,,,1.0,,💔
45,45,Who Detta though?pic.twitter.com/c3EoLwU6BN,JustJake_91,,,,,,,,,,,,,,,
46,46,@Delta Medallion status flyer here...extremely unhappy that I do not see the gluten free snack mix on the inflight menu. #Bringbacksnackmix #delta #glutenfreepic.twitter.com/HLKddT1vhf,8heartslisa,,,,,,1.0,,,,1.0,,,1.0,,
47,47,So many people saying they’re not able to make it to the playoff game because airlines tickets are wicked expensive. You’d think @Delta or @AmericanAir or someone would adjust. Lower ticket prices=more sales. It’s not rocket science.,maliahelms,,,1.0,,,,,,,,1.0,,,1.0,
48,48,"Will never compete with the likes of EK, QR, SQ... Nothing more than a glorified LCC these days, sad to see.",Simonfybek78,,,,,,,,,,,1.0,,,1.0,
49,49,Is MSP on the list?,Bann60Nurse,,,,,,,,,,,,,,,
50,50,Well it’s been logging me out too and my upcoming flights LHR to HKG and BKK to LHR are not showing either. I fly on 4th Feb so I hope @British_Airways can sort it soon?,THFM5683,,,1.0,,,,,1.0,,,,,1.0,,
51,51,What a weirdo.,JakeEchanove,,,,,,,,,,,,,,,
52,52,Wow. Once someone who could recognise the computer was doing the wrong thing got involved all was good. BA still have a massive culture and customer service problem. Never get this with Virgin.,jwrosewell,,,,,1.0,,,,,1.0,,,1.0,,
53,53,"Took off at #LAX heading for #OKC on AA Flight #6068. @AmericanAir turns us around half way, MID AIR & now back at LAX. Blaming weather, but was DFW not available? Flight attendants say no info... @AP It’s weird over here.",WrayMatt,,1.0,,,,,,,,,1.0,,1.0,,
54,54,"Actually they want to secure the border more than the @GOP. They just want to use methods that are proven and tested, instead of wasting $50B on a wall to nowhere (hello @SouthwestAir?!)",nick_nrm,,,,,,,,,,,1.0,,,1.0,
55,55,"Really impressed with @Delta lately. Fair pricing, excellent technology and solid crew and equipment #welldone",BuckyNash,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,
56,56,ZERO barf bags unused on that flight!!!,DingerinIT,,,,,,1.0,,,,1.0,,,1.0,,
57,57,Excuse me @AmericanAir looks like o my half of my upcoming trip was edited. Could someone please assist me.,kapowell_,,,1.0,,,,,1.0,,,,,1.0,,
58,58,Even my flight announcement for boarding says KLM 2-1-4-3. @2143plan @KLM @AirFranceFR @Delta Good omen for the book launch pic.twitter.com/jA3NOyETZa,AJConnolly1,,,,,,,,,,,,,,,👌 👏
59,59,@British_Airways launches new three-times-a-day service to the #Bavarian_beer capital of #Munich from @LondonCityAir https:// travelprnews.com/british-airway s-launches-new-three-times-a-day-service-to-the-bavarian-beer-capital-of-munich-from-london-city-airport-699966/travel-press-release/2019/02/19/ … #travel #flights pic.twitter.com/G65BfsnoGh,travelprnewscom,,,1.0,,,,,,,,1.0,1.0,,,
60,60,Thank you so much.pic.twitter.com/TQ3qpxHFbk,SimonTBailey,,,,,,,,,1.0,,,1.0,,,
61,61,@AmericanAir Hello! I need help with a flight upgrade for tomorrow morning. Can we DM?,feifeichin,,,,,,,1.0,1.0,,,,,,1.0,
62,62,"@SouthwestAir - worst travel experience ever. My husband and I decided to give Southwest a shot. Both flights were delayed and our luggage, including my infant’s car seat, was soaked upon arrival. We sat on the tarmac for hours due to a malfunctioning maintenance light.",wrortega,1.0,1.0,,,,,,,,1.0,,,1.0,,
63,63,We had a GREAT experience on our way out but the lack of customer service we have received this morning is disappointing to say the least. Let’s just say it is enough for us to decide to not fly on them again if they do not make things right.,heatherellison,,,,,1.0,,,,,1.0,,,1.0,,
64,64,"Thanks, Leah. Would ""in the future"" include June, by chance? :)",storms_kat,,,,,,,,1.0,,,,,,1.0,
65,65,Yes but it means an extra night in London,ChelleH66,,,,,,,,,,,,,,,
66,66,Good luck getting a drink,Leung__Wendy,,,,,,1.0,,,1.0,,,,1.0,,
67,67,Hope young leader #Bilawal,ChohanSaqi,,,,,,,,,,,,,,,
68,68,"NEW ARRIVAL! @GeminiJets 1:400-scale @AmericanAir @Boeing 757-200 N203UW, item GJAAL1797, Dec. 2018. See a list of global retailers at http://www.geminijets.com #GeminiJets #AmericanAirlines #American #Boeing #B757 #B757200 #Boeing757 #Boeing757200pic.twitter.com/eUq25IkZlJ",GeminiJets,,,,,,1.0,,,,,1.0,,,1.0,🛬
69,69,Basic air connectivity in the event of no-deal Brexit – provisional agreement with the Parliament https:// europa.eu/!gg97tN @A4Europe @British_Airways @vueling @Iberia_en,UGambini,,,,,,,,,,,1.0,,,1.0,
70,70,@British_Airways @DaveWallsworth see ya London pic.twitter.com/xZJi61OkMn,jontaylor285,,,,,,,,,,,,,,,
71,71,"Never fly @SouthwestAir . Cancelled my flight 2 days in a row, not even a text. Now they want to reschedule it in a week. What a joke. #southwestairlines",Chicagosportsh,,1.0,,,,,,,,1.0,,,1.0,,
72,72,@SouthwestAir canceled in San Diego to SFO and best option will get me there 12hrs later??? Get me a rental I will drive,vincethayer,,1.0,,,,,,,,1.0,,,1.0,,
73,73,Flyin to kingston jamaica 28th jan wid u guys. Hoping u give me a free upgrade to first class hehehe,age_reid,,,1.0,,,,,1.0,,,,1.0,,,
74,74,"Thanks @British_Airways for your system being unable to book my flights yesterday 3 times, unable to check your system on the phone and still charging me £6 for the call and yet now having raised the fare so I pay more due to your utter incompetence! Rather unimpressed!",shilias,,,1.0,,,,,,,1.0,,,1.0,,
75,75,Modifications at @AmericanAir's Tulsa Maintenance Base -- paid for with Vision Tulsa money -- allows for work on bigger planes. http://ow.ly/k30c30ngvnE via @RhettMorganTWpic.twitter.com/WJe3SrfcCX,TulsaWorldBiz,,,,,,,,,,,1.0,,,1.0,
76,76,Happens everytime! So tired of it! @AmericanAir,nicorf9,,,,,,,,,,1.0,,,1.0,,
77,77,@bbb_us @TXAG @SouthwestAir After the helpful @Delta ticketing desk was kind enough to help us find standby flights at another airport and a guaranteed flight in the evening. We then called Southwest customer service requesting to change our return flight for losing a travel day,Imuh,,,,,1.0,,,,1.0,,,1.0,,,
78,78,It is unacceptable for a first level airline. We will be here for 9 hours,1981jw,,1.0,,,,,,,,1.0,,,1.0,,
79,79,"I don't believe anything will happen. I think I, and others, will continue to be racially profiled @delta. (cont) http://tl.gd/n_1sqq0o7",theredpillpusha,,,,,1.0,,,,,1.0,,,1.0,,
80,80,"They lied about my options as far as refunds, left my mother without wheelchair assistance, i could go on and on. I still haven't heard from anyone there since telling the CRO all of this, who denied any of those were rights that I had.",AvogadroAvocado,,,,,1.0,,,,,1.0,,,1.0,,
81,81,"@Delta I'm diamond. used a regional upgrade, was still 11th on the upgrade list (9th on comfort+) landed late, booked me on a new flight 5 hours later, regional applied to the new flight and it didn't even get me on comfort+ list. y?! btw no service 1.5 hours into this flight.",nate015,,,,,,,1.0,,,1.0,,,1.0,,
82,82,Heading back to the gate as the lady in front of me is having a panic attack about missing connections. Can’t DM when I’m in the air as I’ll have no WiFi. My next flight is delayed until 8pm but I have gate checked bag,DropMeAnywhere,,1.0,,,,,,,,1.0,,,1.0,,
83,83,This will be 1st and last time i fly @SouthwestAir i just got this notification about 48 hours before my flight and now I’m on hold for almost an hour pic.twitter.com/0ct1kpw812,jdeabler,,1.0,,,,,,,1.0,,,,1.0,,
84,84,@Delta ? I will rather pay TWICE as much rather than fly them the other 4.....meh... SW:MAYBE. ALASKA:they shouldve remained VA,SFHERC,,,1.0,,,,,,,1.0,,,1.0,,
85,85,"Thanks, Austin. Have been online. It looks like everything is sold out. Ack! If we call might there be seats available that aren't visible online?",barbarajlittle,,,1.0,,,,,1.0,,,,,,1.0,
86,86,Great work by the pilots,derblondehans79,,,,,,1.0,,,1.0,,,1.0,,,
87,87,"I will never fly @Delta ever again, this is ridiculous.",Hubess99,,,,,,,,,,1.0,,,1.0,,
88,88,"You won't want to miss #RHSummit 2019 with keynotes from @BMWGroup, @Delta, @LockheedMartin, and more! Get the exclusive preview of this year's @RedHatSummit: https://red.ht/2Ssy8IP pic.twitter.com/KG47v2OsBk",RedHat,,,,,,,,,,,,,,,
89,89,@SouthwestAir cancelled our flight less than 24 hours before takeoff then we find a flight to rebook the next day and just cancelled that flight as well,FakeDanJ,,1.0,,,,,,,,1.0,,,1.0,,
90,90,@airfrance on the phone says it’s in Paris and ‘should’ be in Geneva at 5:30 pm. Which means it’ll likely miss the last delivery and we won’t have our bag until midday tomorrow. There is a flight from Paris to Geneva EVERY HOUR but our bag is this delayed?! @delta #drinkitaway,AndersenGustav,1.0,,,,,,,,,1.0,,,1.0,,
91,91,Our travel folks sometimes suggest that I connect through LGA (!). I consider this idea dangerously insane. Surely commercial bribery must be at work somewhere to generate such an insane suggestion!!,Dugaru,,,,,,,,,,,,,,,
92,92,The people NEED to know what meme caused this.,Chris_Mench,,,,,,,,,,,,,,,
93,93,@AmericanAir are you waiving change fees for flights in ORD tomorrow if I want to change my flight to avoid getting canceled?,k05_hall,,,1.0,,,,,1.0,,,,,1.0,,
94,94,K @SouthwestAir is the best. Already fixed & I now live in Chicago again.,genniebrummel,,,,,,,,,1.0,,,1.0,,,
95,95,Yesterday travel was all errors from @Delta to @lyft to @marriott. I just couldn't win.,ghctim,,,,,,,,,,1.0,,,1.0,,
96,96,Delayed already 1hour + now. Gives me plenty of time to look around and look at how clean and sane this plane we’ll all spend another 11hours in is. It’s proper mold @British_Airways . Expecting a mushroom to appear anytime soon. pic.twitter.com/uMX0PgbkGh,acblet,,1.0,,,,,,,,1.0,,,1.0,,
97,97,THANK YOU! I think they're great!,ChiFrontierKing,,,,,,,,,,,,,,,
98,98,"@AmericanAir it’s so wrong not to care about your customers I have the worse experience this past week and all I get when I send an email is sport there is nothing we can do!!! I had no luggage missed my flight because of a delay, had to pay extra for stay,food and missed work",SusanaC42927732,1.0,,,,,,,,,1.0,,,1.0,,
99,99,"@AmericanAir Jennifer at MSY baggage check in this morning was fabulous - social, pleasant, and funny. Great attitude and spirit. Checked two bags no problem and she remembered the Priority tags too! Please pass along to her supervisor.",trafficsucks,,,,,1.0,,,,1.0,,,1.0,,,
100,100,@SouthwestAir I have a flight tomorrow morning and am wondering if I can bring two backpacks on the plane with me? Thank you,Bejar15,1.0,,,,,,,1.0,,,,,,1.0,
101,101,They are so freakin’ delicious. And add a cup of coffee - life is good.,_CodyKeith_,,,,,,1.0,,,1.0,,,1.0,,,
102,102,I’m wine drunk and @SouthwestAir cancelled my 10am flight then asked me to reschedule my flight then only offered me an EARLIER flight and did I mention I’m wine drunk,esposito_07,,1.0,,,,,,,,1.0,,,1.0,,
103,103,Thanks Justin! It’s for my niece. I got my question answered when I called. She will call and verify how long the unused voucher funds are good for since she has to cancel her trip this month. Thanks! Love SW!,KMLemon,,,,,1.0,,,,1.0,,,1.0,,,
104,104,@AmericanAir Is anyone there at American?,mpattoncma,,,,,1.0,,,,,1.0,,,1.0,,
105,105,@Delta the flight is still showing an on time departure.,Jessijaymesorol,,1.0,,,,,,,,,1.0,,,1.0,🤔
106,106,"Lastly, please explain the difference between a ""full flight"" and a ""very full flight"". That is all.",tierrapartners,,,,,,,1.0,1.0,,,,,,1.0,
107,107,"@Delta lost my ring. Went back to gate, I’m not sure they looked, she immediately called back to gate and said no I can’t find it! Antique please help!!!",JollyRae,,,,,1.0,,,,,1.0,,,1.0,,
108,108,⁦ @AmericanAir⁩ CEO Was Asked Brutally Direct Question About the Airline's Problems. His Response Was Breathtaking Agree 100%! It’s a dearth of #competition from our #airlines’ oligopoly that makes flying so miserable 4 most of us #travel #PaxExhttps://www.inc.com/chris-matyszczyk/american-airlines-ceo-was-asked-a-brutally-direct-question-about-airlines-problems-his-response-was-breathtaking.html …,Hmiller1011,,,,,,,,,,,,,,,⚠️
109,109,"Well i was suppised to be on a ba when i went but they put me on an american airline flight knowing about the nut allergy, so can see why im not very trusting :-(",Donna45535404,,,,,,1.0,,,,1.0,,,1.0,,
110,110,@SouthwestAir cancelled my flight. I tried to reschedule for today and now I can't make it because of traffic. Trying to reschedule on the website but it won't let me. Customer service is 82 minutes. If I don't reschedule in 30 minutes I'm stuck losing my money. Please help!,Michelle_Mc_G,,1.0,,,,,,1.0,,,,,,1.0,
111,111,Just done booking flights in the winter. I’m always let down and then never compensated.,bra69187ndon16,,,1.0,,,,,,,1.0,,,1.0,,
112,112,"If an @AmericanAir crew woke you from your sleep on your flight that cost >£1k by spilling coffee on your back, ruining a shift, failing to apologies and customer relations said we will note your comments in a database and offer you $15 off your next AA flight would you",DrMikeHill,,,,,,1.0,,,,1.0,,,1.0,,
113,113,Who is Lesley ?,lesliebutton,,,,,,,,,,,,,,,
114,114,Don’t worry. You’re seeing me onboard today as well. And that one is delayed too,jeffdoug2,,1.0,,,,,,,,1.0,,,1.0,,😘 😘
115,115,"Got $. You can get to airport without hassles. American Airlines rolls out private helicopter transfers in New York, LA https://www.travelmole.com/news_feature.php?news_id=2036242&c=setreg&region=3 … via @TravelMole @familyiTrips @Americanair @familytravel #Familyitrips",FamilyiTrips,,,1.0,,,,,,,,1.0,1.0,,,
116,116,June 9th is the first flight!pic.twitter.com/dQm6lE93Gy,OMAairport,,,1.0,,,,,,,,1.0,1.0,,,
117,117,... great sunset pic of Boston from my seat on @SouthwestAir — the official airline of my FL recruiting trip Round 2 ... #LetsGoCats #soccer #recruiting #wheelsuppic.twitter.com/oiwb4H1cCq,Coach_Stu_Horne,,,,,,1.0,,,1.0,,,1.0,,,
118,118,"Hey, @SouthwestAir, how about an app that shows flyers the easiest and most cost effective flights to nice weather using actual weather forecasts? It would make a fortune. Please send help. pic.twitter.com/z6ouYE84n0",VivaNick,,,1.0,,,,,1.0,,,,,,1.0,
119,119,"Dear Guest, we sincerely regret to inform that your flight I5-1568 (BBI-HYD) on 10-Feb-19 is cancelled due to operational reasons. You may choose to avail a full refund or full credit shell. Please contact our call centre at 080-46662222 / 080-67662222 for further assistance.",callyash911,,1.0,,,,,,,,1.0,,,1.0,,
120,120,Yeah I’m sure. I’ll be sure to submit my review via email too.,sryan9877,,,,,1.0,,,,,,1.0,,,1.0,
121,121,"Sweet, thanks. An aisle seat would be great too. Ya know, for my troubles.",RyanHafey,,,,,,,1.0,1.0,,,,,,1.0,☺️
122,122,I hope @SouthwestAir sells pabst in air,chvckp,,,,,,1.0,,1.0,,,,,,1.0,
123,123,Awesome thanks @SouthwestAir Steve,davybaysinger,,,,,,,,,1.0,,,1.0,,,
124,124,Bring her to Washington soon please!,northwest787,,,,,,,,,,,,,,,
125,125,Are you guys not embarrassed to charge 3x the price for the same economy seat?,CraigBeck,,,1.0,,,,,,,1.0,,,1.0,,
126,126,"@AmericanAir AA0541 still sitting on the tarmac after 2 hours. We were supposed to be off the plane at 10 pm, it’s now 2:30 am. I would have stayed in Charlotte if you gave real guidance.",jhinzman11,,1.0,,,,,,,,1.0,,,1.0,,
127,127,One of my favourite things about @British_Airways is their flight safety video. Seeing Joanna Lumley honestly just sets the mood for taking advantage of the open bar.,stphfrndz,,,,,,1.0,,,1.0,,,1.0,,,
128,128,@AirAsiaSupport The Are you sure you want to book the bassinet seat even in elementary school children? Please tell me.,alice05rana06,,,,,,,1.0,1.0,,,,,,1.0,
129,129,Any chance for a wifi code so I can please knock a few emails out before it's really really late? I'm on flight 900 to DAL conf#LS9R4M,FlycamDFW,,,,,,1.0,,1.0,,,,,,1.0,
130,130,"My wife without AA elite status just paid $65 dollars per seat for MCE on an award flight that she had to cancel. Why will @AmericanAir not refund that $65? I understand not reinstating the miles for free, but the seat cost?",atxtraveler,,,1.0,,,,,,,1.0,,,1.0,,
131,131,Thanks - I have been asking for this change since the group boarding began - better late than never,aks120,,,1.0,,,,,1.0,,,,,,1.0,
132,132,My @delta account is still suspended. Apparently in today's day and age it takes nearly a week for a company to read an email. For a frequent traveler this is a huge pain. All because of some suspicious activity on my account. How hard is it to reset my password?,cheeto_shane,,,1.0,,,,,1.0,,,,,1.0,,
133,133,@SouthwestAir on flight 2327 now waiting on the paperwork for over a hour - pilot said he was embarrassed as nothing is wrong with the plane! What is going on?! #waitingondallas,MsAllisonLane,,1.0,,,,,,,,1.0,,,1.0,,
134,134,@SouthwestAir Please consider a BWI-BDA flight... any frequency!,jvewing8,,,1.0,,,,,1.0,,,,,,1.0,🤞🏻 🙏🏻 👙 🌊
135,135,You try and use that link! I even ended up clicking on the dates that it said there WAS availability 10 months out for somewhere else. After the search... same fruitless effort. I give up. Tried Antigua in November too. *sigh* pic.twitter.com/F3mXQSWlUZ,Dixon_Jones,,,1.0,,,,,,,1.0,,,1.0,,
136,136,Hmm. Error says all routes from San Jose to Hawaii can’t be booked online.,lolittatracy,,,1.0,,,,,,,1.0,,,1.0,,🤔
137,137,That’s what he is trying to do! But southwest wants more points or make him pay hundreds of dollars to get out of Seattle......thus defeating the purpose,Saving_Traveler,,,1.0,,,,,,,1.0,,,1.0,,🤦🏻‍♂️
138,138,"Great to hear, Pray that it’s truebc no one wants to fly if there’s no safety For #Boeing737Max8",UsherPassion,,,1.0,,,,,,,,1.0,,,1.0,🙏🏽
139,139,Thank you @SenWarren and @MittRomney for pressuring @Boeing @SouthwestAir @AmericanAir @UnitedAirways to ground #BOEING737MAX8 I didn’t vote for you but today you’re doing the right thing.,dapplegrey07,,,1.0,,,,,,,,1.0,1.0,,,
140,750,"It won't show up in your account, just on the final booking page",godsavethepoint,,1.0,,,,,,1.0,,,,,,1.0,
141,751,@SouthwestAir always disappoints me . I’m going back to American,iamJaiLove,,,,,,,,,,1.0,,,1.0,,😑
142,752,. @AmericanAir I have no precheck #on my boarding pass for my flight out today. Anyway you can help?,SeanJohnThom,,,1.0,,,,,1.0,,,,,,1.0,
143,753,"Many thanks, just sent a DM. And we don't have to personally go through security, we land at LAX regional terminal, bus straight to Terminal 5? Sonif it's all on one ticket, we could achieve the 1hr18min target?!",jamoiholland,,,1.0,,,,,1.0,,,,,,1.0,😁
144,754,@British_Airways just arrived in London from Jamaica flight 2262 Your staff deserve a medal for dealing with us customers. That was rowdy. Messiest flight ever been on,emmajivamukti,,,,,1.0,,,,1.0,,,1.0,,,
145,755,It would be nicer to see more A380's in Logan airport... the 747's + 777's that come in daily look sweet indeed... #SendMoreA380 's!,MarcNYC36,,,,,,,,1.0,,,,1.0,,,
146,756,And let the learning and sharing begin! 15 #Nashville leaders just landed in Mexico City for @conexion_tn first ever Mexico Study Tour #NashvilleinMexico sponsored by @southwestair w/ @mendesbob @GaryOnDesign @SlyCola +pic.twitter.com/MfuLBxWoic,RenataSotoTN,,,,,,,,,,,,,,,🇲🇽
147,757,Way to go @SouthwestAir you guys rock. What a great story and what compassion. We need more feel good stories from amazing companies like SouthwestAir,LetsSeeHowLong,,,,,,,,,1.0,,,1.0,,,
148,758,"@SouthwestAir at @Reagan_Airport, thanks for celebrating #BlackHistoryMonth! My kid loved the displays of #BlackExcellence",JennyPatDC,,,,,1.0,,,,1.0,,,1.0,,,
149,759,@British_Airways to paint #B747 with retro BOAC livery – Business Traveller https:// hubs.ly/H0ggbzj0 by @BTUK,VistairSystems,,,,1.0,,,,,1.0,,,1.0,,,
150,760,I say denial of service via gun range sounds fantastic. Take a bunch of old equipment and unload.,liquiddeth,,,,,,,,,,,,,,,
151,761,"A sad day for aviation...I had the privilege of supporting SW and meeting Herb many years back, and I still remember his warmth and genuine interest in others. He inspired and drove change in the industry. RIP #honoringherb",Anitaaviation,,,,,,,,,,,,,,,
152,762,Seems fair to me. Effectively means people who don’t want to sit together or are travelling alone save money.,iamwillryder,,,,,,,,,,,1.0,,,1.0,
153,763,I LOVE YOUUUU BEBE YOU INSPIRE ME,lensedstar,,,,,,,,,,,,,,,🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤
